"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"n","1700044","963558","736486","","","","959603","709645"," 3955","26841","","",""
"EL_SEX_CD = M (%)"," 714174 ( 42.0) ","481795 ( 50.0) ","232379 ( 31.6) ","<0.001",""," 0.382","479755 ( 50.0) ","220941 ( 31.1) "," 2040 ( 51.6) ","11438 ( 42.6) ","<0.001",""," 0.236"
"race (%)","","","","<0.001",""," 0.249","",""," ","","<0.001",""," 0.393"
"   White"," 982382 ( 57.8) ","533306 ( 55.3) ","449076 ( 61.0) ","","","","531181 ( 55.4) ","436321 ( 61.5) "," 2125 ( 53.7) ","12755 ( 47.5) ","","",""
"   Black"," 502595 ( 29.6) ","278909 ( 28.9) ","223686 ( 30.4) ","","","","278047 ( 29.0) ","212089 ( 29.9) ","  862 ( 21.8) ","11597 ( 43.2) ","","",""
"   Native American","  10562 (  0.6) ","  6268 (  0.7) ","  4294 (  0.6) ","","","","  6248 (  0.7) ","  4160 (  0.6) ","   20 (  0.5) ","  134 (  0.5) ","","",""
"   Asian or PI","  26121 (  1.5) "," 14011 (  1.5) "," 12110 (  1.6) ","","",""," 13972 (  1.5) "," 11762 (  1.7) ","   39 (  1.0) ","  348 (  1.3) ","","",""
"   Hispanic","  90494 (  5.3) "," 68054 (  7.1) "," 22440 (  3.0) ","","",""," 67809 (  7.1) "," 21811 (  3.1) ","  245 (  6.2) ","  629 (  2.3) ","","",""
"   NH PI","   2414 (  0.1) ","   954 (  0.1) ","  1460 (  0.2) ","","","","   948 (  0.1) ","  1377 (  0.2) ","    6 (  0.2) ","   83 (  0.3) ","","",""
"   NA.","  85476 (  5.0) "," 62056 (  6.4) "," 23420 (  3.2) ","","",""," 61398 (  6.4) "," 22125 (  3.1) ","  658 ( 16.6) "," 1295 (  4.8) ","","",""
"total_elig_months (mean (sd))","  10.91 (2.16)"," 11.03 (2.04)"," 10.74 (2.30)","<0.001",""," 0.133"," 11.03 (2.03)"," 10.74 (2.30)","10.87 (2.18)","10.90 (2.20)","<0.001",""," 0.070"
"elig_cat (%)","","",""," NaN",""," 0.129","",""," ",""," NaN",""," 0.077"
"   0 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 158313 (  9.3) "," 77025 (  8.0) "," 81288 ( 11.0) ","","",""," 76627 (  8.0) "," 78456 ( 11.1) ","  398 ( 10.1) "," 2832 ( 10.6) ","","",""
"   7-9 months"," 144946 (  8.5) "," 74487 (  7.7) "," 70459 (  9.6) ","","",""," 74162 (  7.7) "," 68412 (  9.6) ","  325 (  8.2) "," 2047 (  7.6) ","","",""
"   9-12 months","1396785 ( 82.2) ","812046 ( 84.3) ","584739 ( 79.4) ","","","","808814 ( 84.3) ","562777 ( 79.3) "," 3232 ( 81.7) ","21962 ( 81.8) ","","",""
"AKI = 1 (%)","   8036 (  0.5) ","   341 (  0.0) ","  7695 (  1.0) ","<0.001",""," 0.138","     0 (  0.0) ","     0 (  0.0) ","  341 (  8.6) "," 7695 ( 28.7) ","<0.001",""," 0.532"
