"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"n","963558","227480","260651","175582","159583","140262","","","","225486","258902","174346","158040","138145"," 1994"," 1749"," 1236"," 1543"," 2117","","",""
"EL_SEX_CD = M (%)","481795 ( 50.0) ","116912 ( 51.4) ","134301 ( 51.5) "," 90319 ( 51.4) "," 80650 ( 50.5) "," 59613 ( 42.5) ","<0.001",""," 0.076","115811 ( 51.4) ","133497 ( 51.6) "," 89745 ( 51.5) "," 79921 ( 50.6) "," 58852 ( 42.6) "," 1101 ( 55.2) ","  804 ( 46.0) ","  574 ( 46.4) ","  729 ( 47.2) ","  761 ( 35.9) ","<0.001",""," 0.127"
"race (%)","","","","","","","<0.001",""," 0.253","","","","",""," "," "," "," "," ","<0.001",""," 0.335"
"   White","533306 ( 55.3) ","106716 ( 46.9) ","153715 ( 59.0) ","102118 ( 58.2) "," 92654 ( 58.1) "," 78103 ( 55.7) ","","","","105823 ( 46.9) ","152609 ( 58.9) ","101378 ( 58.1) "," 91737 ( 58.0) "," 76813 ( 55.6) ","  893 ( 44.8) "," 1106 ( 63.2) ","  740 ( 59.9) ","  917 ( 59.4) "," 1290 ( 60.9) ","","",""
"   Black","278909 ( 28.9) "," 60554 ( 26.6) "," 72675 ( 27.9) "," 49763 ( 28.3) "," 48487 ( 30.4) "," 47430 ( 33.8) ","","",""," 60250 ( 26.7) "," 72333 ( 27.9) "," 49441 ( 28.4) "," 48045 ( 30.4) "," 46833 ( 33.9) ","  304 ( 15.2) ","  342 ( 19.6) ","  322 ( 26.1) ","  442 ( 28.6) ","  597 ( 28.2) ","","",""
"   Native American","  6268 (  0.7) ","  1328 (  0.6) ","  1620 (  0.6) ","  1245 (  0.7) ","  1176 (  0.7) ","   899 (  0.6) ","","","","  1322 (  0.6) ","  1616 (  0.6) ","  1237 (  0.7) ","  1169 (  0.7) ","   885 (  0.6) ","    6 (  0.3) ","    4 (  0.2) ","    8 (  0.6) ","    7 (  0.5) ","   14 (  0.7) ","","",""
"   Asian or PI"," 14011 (  1.5) ","  2931 (  1.3) ","  3825 (  1.5) ","  2814 (  1.6) ","  2413 (  1.5) ","  2028 (  1.4) ","","","","  2909 (  1.3) ","  3806 (  1.5) ","  2799 (  1.6) ","  2393 (  1.5) ","  2014 (  1.5) ","   22 (  1.1) ","   19 (  1.1) ","   15 (  1.2) ","   20 (  1.3) ","   14 (  0.7) ","","",""
"   Hispanic"," 68054 (  7.1) "," 17177 (  7.6) "," 19364 (  7.4) "," 13869 (  7.9) "," 10518 (  6.6) ","  7126 (  5.1) ","","",""," 17022 (  7.5) "," 19243 (  7.4) "," 13791 (  7.9) "," 10434 (  6.6) ","  7043 (  5.1) ","  155 (  7.8) ","  121 (  6.9) ","   78 (  6.3) ","   84 (  5.4) ","   83 (  3.9) ","","",""
"   NH PI","   954 (  0.1) ","   211 (  0.1) ","   197 (  0.1) ","   213 (  0.1) ","   188 (  0.1) ","   145 (  0.1) ","","","","   210 (  0.1) ","   194 (  0.1) ","   211 (  0.1) ","   186 (  0.1) ","   143 (  0.1) ","    1 (  0.1) ","    3 (  0.2) ","    2 (  0.2) ","    2 (  0.1) ","    2 (  0.1) ","","",""
"   NA."," 62056 (  6.4) "," 38563 ( 17.0) ","  9255 (  3.6) ","  5560 (  3.2) ","  4147 (  2.6) ","  4531 (  3.2) ","","",""," 37950 ( 16.8) ","  9101 (  3.5) ","  5489 (  3.1) ","  4076 (  2.6) ","  4414 (  3.2) ","  613 ( 30.7) ","  154 (  8.8) ","   71 (  5.7) ","   71 (  4.6) ","  117 (  5.5) ","","",""
"total_elig_months (mean (sd))"," 11.03 (2.04)"," 10.40 (2.51)"," 11.33 (1.70)"," 11.40 (1.63)"," 11.35 (1.69)"," 10.70 (2.24)","<0.001",""," 0.256"," 10.40 (2.51)"," 11.33 (1.70)"," 11.39 (1.63)"," 11.35 (1.70)"," 10.69 (2.24)","10.16 (2.63)","11.54 (1.41)","11.58 (1.43)","11.60 (1.34)","11.01 (1.97)","<0.001",""," 0.297"
"elig_cat (%)","","","","","",""," NaN",""," 0.242","","","","",""," "," "," "," "," "," NaN",""," 0.280"
"   0 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 77025 (  8.0) "," 34398 ( 15.1) "," 12909 (  5.0) ","  7923 (  4.5) ","  7921 (  5.0) "," 13874 (  9.9) ","","",""," 34032 ( 15.1) "," 12855 (  5.0) ","  7881 (  4.5) ","  7877 (  5.0) "," 13730 (  9.9) ","  366 ( 18.4) ","   54 (  3.1) ","   42 (  3.4) ","   44 (  2.9) ","  144 (  6.8) ","","",""
"   7-9 months"," 74487 (  7.7) "," 24394 ( 10.7) "," 15362 (  5.9) ","  9263 (  5.3) ","  8960 (  5.6) "," 16508 ( 11.8) ","","",""," 24167 ( 10.7) "," 15280 (  5.9) ","  9219 (  5.3) ","  8911 (  5.6) "," 16311 ( 11.8) ","  227 ( 11.4) ","   82 (  4.7) ","   44 (  3.6) ","   49 (  3.2) ","  197 (  9.3) ","","",""
"   9-12 months","812046 ( 84.3) ","168688 ( 74.2) ","232380 ( 89.2) ","158396 ( 90.2) ","142702 ( 89.4) ","109880 ( 78.3) ","","","","167287 ( 74.2) ","230767 ( 89.1) ","157246 ( 90.2) ","141252 ( 89.4) ","108104 ( 78.3) "," 1401 ( 70.3) "," 1613 ( 92.2) "," 1150 ( 93.0) "," 1450 ( 94.0) "," 1776 ( 83.9) ","","",""
"AKI = 1 (%)","   341 (  0.0) ","    93 (  0.0) ","    32 (  0.0) ","    25 (  0.0) ","    47 (  0.0) ","   144 (  0.1) ","<0.001",""," 0.019","    44 (  0.0) ","    15 (  0.0) ","     9 (  0.0) ","    22 (  0.0) ","    93 (  0.1) ","   49 (  2.5) ","   17 (  1.0) ","   16 (  1.3) ","   25 (  1.6) ","   51 (  2.4) ","<0.001",""," 0.119"
"ANEMIA = 1 (%)"," 32028 (  3.3) "," 10376 (  4.6) ","  7390 (  2.8) ","  3571 (  2.0) ","  4435 (  2.8) ","  6256 (  4.5) ","<0.001",""," 0.075"," 10181 (  4.5) ","  7263 (  2.8) ","  3477 (  2.0) ","  4304 (  2.7) ","  5981 (  4.3) ","  195 (  9.8) ","  127 (  7.3) ","   94 (  7.6) ","  131 (  8.5) ","  275 ( 13.0) ","<0.001",""," 0.174"
"ASHD = 1 (%)","   290 (  0.0) ","    40 (  0.0) ","    23 (  0.0) ","    22 (  0.0) ","    67 (  0.0) ","   138 (  0.1) ","<0.001",""," 0.020","    36 (  0.0) ","    22 (  0.0) ","    22 (  0.0) ","    66 (  0.0) ","   128 (  0.1) ","    4 (  0.2) ","    1 (  0.1) ","    0 (  0.0) ","    1 (  0.1) ","   10 (  0.5) ","<0.001",""," 0.038"
"CABG = 0 (%)","963558 (100.0) ","227480 (100.0) ","260651 (100.0) ","175582 (100.0) ","159583 (100.0) ","140262 (100.0) "," NA","","<0.001","225486 (100.0) ","258902 (100.0) ","174346 (100.0) ","158040 (100.0) ","138145 (100.0) "," 1994 (100.0) "," 1749 (100.0) "," 1236 (100.0) "," 1543 (100.0) "," 2117 (100.0) "," NA","","<0.001"
"CANCER = 1 (%)","  1670 (  0.2) ","   218 (  0.1) ","   449 (  0.2) ","   316 (  0.2) ","   312 (  0.2) ","   375 (  0.3) ","<0.001",""," 0.017","   172 (  0.1) ","   381 (  0.1) ","   282 (  0.2) ","   273 (  0.2) ","   339 (  0.2) ","   46 (  2.3) ","   68 (  3.9) ","   34 (  2.8) ","   39 (  2.5) ","   36 (  1.7) ","<0.001",""," 0.134"
"CASCEA = 0 (%)","963558 (100.0) ","227480 (100.0) ","260651 (100.0) ","175582 (100.0) ","159583 (100.0) ","140262 (100.0) "," NA","","<0.001","225486 (100.0) ","258902 (100.0) ","174346 (100.0) ","158040 (100.0) ","138145 (100.0) "," 1994 (100.0) "," 1749 (100.0) "," 1236 (100.0) "," 1543 (100.0) "," 2117 (100.0) "," NA","","<0.001"
"CHF = 1 (%)","   860 (  0.1) ","   305 (  0.1) ","   114 (  0.0) ","    97 (  0.1) ","   130 (  0.1) ","   214 (  0.2) ","<0.001",""," 0.019","   264 (  0.1) ","   103 (  0.0) ","    89 (  0.1) ","   114 (  0.1) ","   189 (  0.1) ","   41 (  2.1) ","   11 (  0.6) ","    8 (  0.6) ","   16 (  1.0) ","   25 (  1.2) ","<0.001",""," 0.089"
"CKD = 1 (%)","  3955 (  0.4) ","  1352 (  0.6) ","   750 (  0.3) ","   426 (  0.2) ","   474 (  0.3) ","   953 (  0.7) ","<0.001",""," 0.035","    68 (  0.0) ","    40 (  0.0) ","    32 (  0.0) ","    47 (  0.0) ","   204 (  0.1) "," 1284 ( 64.4) ","  710 ( 40.6) ","  394 ( 31.9) ","  427 ( 27.7) ","  749 ( 35.4) ","<0.001",""," 0.742"
"CKD_STAGE_1 = 1 (%)","    77 (  0.0) ","    19 (  0.0) ","    12 (  0.0) ","    10 (  0.0) ","    10 (  0.0) ","    26 (  0.0) ","<0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   19 (  1.0) ","   12 (  0.7) ","   10 (  0.8) ","   10 (  0.6) ","   26 (  1.2) ","<0.001",""," 0.080"
"CKD_STAGE_2 = 1 (%)","    75 (  0.0) ","    11 (  0.0) ","    16 (  0.0) ","    13 (  0.0) ","    15 (  0.0) ","    20 (  0.0) "," 0.021",""," 0.005","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   11 (  0.6) ","   16 (  0.9) ","   13 (  1.1) ","   15 (  1.0) ","   20 (  0.9) ","<0.001",""," 0.079"
"CKD_STAGE_3 = 1 (%)","   113 (  0.0) ","    20 (  0.0) ","    25 (  0.0) ","    18 (  0.0) ","    19 (  0.0) ","    31 (  0.0) "," 0.003",""," 0.005","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   20 (  1.0) ","   25 (  1.4) ","   18 (  1.5) ","   19 (  1.2) ","   31 (  1.5) ","<0.001",""," 0.095"
