"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test","SMD"
"n","2083291","1669248","30796","","","","1202552","614921","12980","33472","116256"," 2989","100121","","",""
"EL_SEX_CD = M (%)"," 889172 ( 42.7) "," 700696 ( 42.0) ","13478 ( 43.8) ","<0.001",""," 0.036"," 506365 ( 42.1) ","257698 ( 41.9) "," 5629 ( 43.4) ","14958 ( 44.7) "," 52676 ( 45.3) "," 1298 ( 43.4) "," 50548 ( 50.5) ","<0.001",""," 0.064"
"race (%)","","","","<0.001",""," 0.273","","","","",""," ","","<0.001",""," NaN"
"   White","1202552 ( 57.7) "," 967502 ( 58.0) ","14880 ( 48.3) ","","","","1202552 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   Black"," 614921 ( 29.5) "," 490136 ( 29.4) ","12459 ( 40.5) ","","","","      0 (  0.0) ","614921 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   Native American","  12980 (  0.6) ","  10408 (  0.6) ","  154 (  0.5) ","","","","      0 (  0.0) ","     0 (  0.0) ","12980 (100.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   Asian or PI","  33472 (  1.6) ","  25734 (  1.5) ","  387 (  1.3) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","33472 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   Hispanic"," 116256 (  5.6) ","  89620 (  5.4) ","  874 (  2.8) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","116256 (100.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   NH PI","   2989 (  0.1) ","   2325 (  0.1) ","   89 (  0.3) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) "," 2989 (100.0) ","     0 (  0.0) ","","",""
"   NA."," 100121 (  4.8) ","  83523 (  5.0) "," 1953 (  6.3) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","100121 (100.0) ","","",""
"total_elig_months (mean (sd))","  10.65 (2.39)","  10.91 (2.16)","10.89 (2.20)"," 0.266",""," 0.006","  10.61 (2.42)"," 10.86 (2.21)","10.45 (2.48)","10.60 (2.44)"," 10.50 (2.50)","10.79 (2.35)"," 10.14 (2.72)","<0.001",""," 0.114"
"elig_cat (%)","","",""," NaN",""," 0.048","","","","",""," ",""," NaN",""," 0.120"
"   0 months","      0 (  0.0) ","      0 (  0.0) ","    0 (  0.0) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   1-3 months","      0 (  0.0) ","      0 (  0.0) ","    0 (  0.0) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   4-6 months"," 253294 ( 12.2) "," 155083 (  9.3) "," 3230 ( 10.5) ","","",""," 151772 ( 12.6) "," 59696 (  9.7) "," 1748 ( 13.5) "," 4312 ( 12.9) "," 16103 ( 13.9) ","  341 ( 11.4) "," 19322 ( 19.3) ","","",""
"   7-9 months"," 202176 (  9.7) "," 142574 (  8.5) "," 2372 (  7.7) ","","",""," 120300 ( 10.0) "," 53902 (  8.8) "," 1532 ( 11.8) "," 3322 (  9.9) "," 12037 ( 10.4) ","  241 (  8.1) "," 10842 ( 10.8) ","","",""
"   9-12 months","1627821 ( 78.1) ","1371591 ( 82.2) ","25194 ( 81.8) ","","",""," 930480 ( 77.4) ","501323 ( 81.5) "," 9700 ( 74.7) ","25838 ( 77.2) "," 88116 ( 75.8) "," 2407 ( 80.5) "," 69957 ( 69.9) ","","",""
