"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"n","963558","227480","304851","131382","197651","102194","","","","226128","303975","131082","196996","101422","1352","  876","  300","  655","  772","","",""
"EL_SEX_CD = M (%)","481795 ( 50.0) ","116912 ( 51.4) ","156949 ( 51.5) "," 67671 ( 51.5) "," 99103 ( 50.1) "," 41160 ( 40.3) ","<0.001",""," 0.096","116094 ( 51.3) ","156474 ( 51.5) "," 67516 ( 51.5) "," 98783 ( 50.1) "," 40888 ( 40.3) "," 818 ( 60.5) ","  475 ( 54.2) ","  155 ( 51.7) ","  320 ( 48.9) ","  272 ( 35.2) ","<0.001",""," 0.155"
"race (%)","","","","","","","<0.001",""," 0.259","","","","","","","  ","  ","  ","  ","<0.001",""," 0.377"
"   White","533306 ( 55.3) ","106716 ( 46.9) ","179711 ( 59.0) "," 76122 ( 57.9) ","114551 ( 58.0) "," 56206 ( 55.0) ","","","","106140 ( 46.9) ","179161 ( 58.9) "," 75934 ( 57.9) ","114174 ( 58.0) "," 55772 ( 55.0) "," 576 ( 42.6) ","  550 ( 62.8) ","  188 ( 62.7) ","  377 ( 57.6) ","  434 ( 56.2) ","","",""
"   Black","278909 ( 28.9) "," 60554 ( 26.6) "," 84718 ( 27.8) "," 37720 ( 28.7) "," 60663 ( 30.7) "," 35254 ( 34.5) ","","",""," 60357 ( 26.7) "," 84549 ( 27.8) "," 37651 ( 28.7) "," 60484 ( 30.7) "," 35006 ( 34.5) "," 197 ( 14.6) ","  169 ( 19.3) ","   69 ( 23.0) ","  179 ( 27.3) ","  248 ( 32.1) ","","",""
"   Native American","  6268 (  0.7) ","  1328 (  0.6) ","  1932 (  0.6) ","   933 (  0.7) ","  1423 (  0.7) ","   652 (  0.6) ","","","","  1324 (  0.6) ","  1929 (  0.6) ","   931 (  0.7) ","  1417 (  0.7) ","   647 (  0.6) ","   4 (  0.3) ","    3 (  0.3) ","    2 (  0.7) ","    6 (  0.9) ","    5 (  0.6) ","","",""
"   Asian or PI"," 14011 (  1.5) ","  2931 (  1.3) ","  4588 (  1.5) ","  2051 (  1.6) ","  3035 (  1.5) ","  1406 (  1.4) ","","","","  2920 (  1.3) ","  4579 (  1.5) ","  2046 (  1.6) ","  3025 (  1.5) ","  1402 (  1.4) ","  11 (  0.8) ","    9 (  1.0) ","    5 (  1.7) ","   10 (  1.5) ","    4 (  0.5) ","","",""
"   Hispanic"," 68054 (  7.1) "," 17177 (  7.6) "," 22918 (  7.5) "," 10315 (  7.9) "," 12687 (  6.4) ","  4957 (  4.9) ","","",""," 17072 (  7.5) "," 22860 (  7.5) "," 10306 (  7.9) "," 12647 (  6.4) ","  4924 (  4.9) "," 105 (  7.8) ","   58 (  6.6) ","    9 (  3.0) ","   40 (  6.1) ","   33 (  4.3) ","","",""
"   NH PI","   954 (  0.1) ","   211 (  0.1) ","   246 (  0.1) ","   164 (  0.1) ","   242 (  0.1) ","    91 (  0.1) ","","","","   210 (  0.1) ","   245 (  0.1) ","   162 (  0.1) ","   240 (  0.1) ","    91 (  0.1) ","   1 (  0.1) ","    1 (  0.1) ","    2 (  0.7) ","    2 (  0.3) ","    0 (  0.0) ","","",""
"   NA."," 62056 (  6.4) "," 38563 ( 17.0) "," 10738 (  3.5) ","  4077 (  3.1) ","  5050 (  2.6) ","  3628 (  3.6) ","","",""," 38105 ( 16.9) "," 10652 (  3.5) ","  4052 (  3.1) ","  5009 (  2.5) ","  3580 (  3.5) "," 458 ( 33.9) ","   86 (  9.8) ","   25 (  8.3) ","   41 (  6.3) ","   48 (  6.2) ","","",""
