"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test"
"n","977811","967703","10108","","","973678"," 4133","","","563869","295242"," 6150","13462","67088","  934","31066","",""
"EL_SEX_CD = M (%)","485289 ( 49.6) ","480847 ( 49.7) "," 4442 ( 43.9) ","<0.001","","483238 ( 49.6) "," 2051 ( 49.6) "," 1.000","","279607 ( 49.6) ","143801 ( 48.7) "," 3110 ( 50.6) "," 6878 ( 51.1) ","33352 ( 49.7) ","  485 ( 51.9) ","18056 ( 58.1) ","<0.001",""
"race (%)","","","","<0.001","",""," ","<0.001","","",""," ","","","  ","","<0.001",""
"   White","563869 ( 57.7) ","557597 ( 57.6) "," 6272 ( 62.0) ","","","561374 ( 57.7) "," 2495 ( 60.4) ","","","563869 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Black","295242 ( 30.2) ","292850 ( 30.3) "," 2392 ( 23.7) ","","","294355 ( 30.2) ","  887 ( 21.5) ","","","     0 (  0.0) ","295242 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Native American","  6150 (  0.6) ","  6101 (  0.6) ","   49 (  0.5) ","","","  6132 (  0.6) ","   18 (  0.4) ","","","     0 (  0.0) ","     0 (  0.0) "," 6150 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Asian or PI"," 13462 (  1.4) "," 13343 (  1.4) ","  119 (  1.2) ","",""," 13413 (  1.4) ","   49 (  1.2) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","13462 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Hispanic"," 67088 (  6.9) "," 66463 (  6.9) ","  625 (  6.2) ","",""," 66790 (  6.9) ","  298 (  7.2) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","67088 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   NH PI","   934 (  0.1) ","   923 (  0.1) ","   11 (  0.1) ","","","   929 (  0.1) ","    5 (  0.1) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","  934 (100.0) ","    0 (  0.0) ","",""
"   NA."," 31066 (  3.2) "," 30426 (  3.1) ","  640 (  6.3) ","",""," 30685 (  3.2) ","  381 (  9.2) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","31066 (100.0) ","",""
"total_elig_months (mean (sd))"," 11.12 (1.93)"," 11.12 (1.94)","11.20 (1.86)","<0.001",""," 11.12 (1.93)","10.91 (2.14)","<0.001",""," 11.07 (1.98)"," 11.29 (1.75)","11.00 (2.03)","11.02 (2.04)","10.97 (2.09)","11.16 (1.89)","10.74 (2.30)","<0.001",""
"elig_cat (%)","","",""," NaN","",""," "," NaN","","",""," ","","","  ",""," NaN",""
"   0 months","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   4-6 months"," 59686 (  6.1) "," 59128 (  6.1) ","  558 (  5.5) ","",""," 59343 (  6.1) ","  343 (  8.3) ","",""," 36175 (  6.4) "," 13896 (  4.7) ","  421 (  6.8) ","  958 (  7.1) "," 5057 (  7.5) ","   50 (  5.4) "," 3129 ( 10.1) ","",""
"   7-9 months"," 83030 (  8.5) "," 82248 (  8.5) ","  782 (  7.7) ","",""," 82626 (  8.5) ","  404 (  9.8) ","",""," 50782 (  9.0) "," 20690 (  7.0) ","  592 (  9.6) "," 1238 (  9.2) "," 6258 (  9.3) ","   82 (  8.8) "," 3388 ( 10.9) ","",""
"   9-12 months","835095 ( 85.4) ","826327 ( 85.4) "," 8768 ( 86.7) ","","","831709 ( 85.4) "," 3386 ( 81.9) ","","","476912 ( 84.6) ","260656 ( 88.3) "," 5137 ( 83.5) ","11266 ( 83.7) ","55773 ( 83.1) ","  802 ( 85.9) ","24549 ( 79.0) ","",""
"AKI = 1 (%)","   293 (  0.0) ","   138 (  0.0) ","  155 (  1.5) ","<0.001","","     0 (  0.0) ","  293 (  7.1) ","<0.001","","   118 (  0.0) ","   100 (  0.0) ","    3 (  0.0) ","    1 (  0.0) ","   17 (  0.0) ","    1 (  0.1) ","   53 (  0.2) ","<0.001",""
"ANEMIA = 1 (%)"," 36688 (  3.8) "," 35634 (  3.7) "," 1054 ( 10.4) ","<0.001",""," 36133 (  3.7) ","  555 ( 13.4) ","<0.001",""," 15644 (  2.8) "," 15316 (  5.2) ","   96 (  1.6) ","  764 (  5.7) "," 3404 (  5.1) ","   51 (  5.5) "," 1413 (  4.5) ","<0.001",""
"ASHD = 1 (%)","   473 (  0.0) ","   454 (  0.0) ","   19 (  0.2) ","<0.001","","   455 (  0.0) ","   18 (  0.4) ","<0.001","","   220 (  0.0) ","   190 (  0.1) ","    2 (  0.0) ","    5 (  0.0) ","   28 (  0.0) ","    0 (  0.0) ","   28 (  0.1) ","<0.001",""
"CABG = 1 (%)","     1 (  0.0) ","     1 (  0.0) ","    0 (  0.0) "," 1.000","","     1 (  0.0) ","    0 (  0.0) "," 1.000","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","<0.001",""
"CANCER = 1 (%)","  1708 (  0.2) ","  1450 (  0.1) ","  258 (  2.6) ","<0.001","","  1545 (  0.2) ","  163 (  3.9) ","<0.001","","   970 (  0.2) ","   372 (  0.1) ","    3 (  0.0) ","   18 (  0.1) ","   97 (  0.1) ","    2 (  0.2) ","  246 (  0.8) ","<0.001",""
"CASCEA = 1 (%)","     1 (  0.0) ","     1 (  0.0) ","    0 (  0.0) "," 1.000","","     1 (  0.0) ","    0 (  0.0) "," 1.000","","     0 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.889",""
"CHF = 1 (%)","   857 (  0.1) ","   735 (  0.1) ","  122 (  1.2) ","<0.001","","   754 (  0.1) ","  103 (  2.5) ","<0.001","","   424 (  0.1) ","   238 (  0.1) ","    5 (  0.1) ","    8 (  0.1) ","   34 (  0.1) ","    0 (  0.0) ","  148 (  0.5) ","<0.001",""
"CKD = 1 (%)","  4133 (  0.4) ","   362 (  0.0) "," 3771 ( 37.3) ","<0.001","","     0 (  0.0) "," 4133 (100.0) ","<0.001","","  2495 (  0.4) ","   887 (  0.3) ","   18 (  0.3) ","   49 (  0.4) ","  298 (  0.4) ","    5 (  0.5) ","  381 (  1.2) ","<0.001",""
"CKD_STAGE_1 = 1 (%)","    93 (  0.0) ","     0 (  0.0) ","   93 (  0.9) ","<0.001","","     0 (  0.0) ","   93 (  2.3) ","<0.001","","    48 (  0.0) ","    33 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    4 (  0.0) ","    0 (  0.0) ","    8 (  0.0) "," 0.044",""
"CKD_STAGE_2 = 1 (%)","    73 (  0.0) ","     0 (  0.0) ","   73 (  0.7) ","<0.001","","     0 (  0.0) ","   73 (  1.8) ","<0.001","","    41 (  0.0) ","    25 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    5 (  0.0) "," 0.297",""
"CKD_STAGE_3 = 1 (%)","    91 (  0.0) ","     0 (  0.0) ","   91 (  0.9) ","<0.001","","     0 (  0.0) ","   91 (  2.2) ","<0.001","","    38 (  0.0) ","    34 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    4 (  0.0) ","    1 (  0.1) ","   13 (  0.0) ","<0.001",""
"CKD_STAGE_4 = 1 (%)","    46 (  0.0) ","     0 (  0.0) ","   46 (  0.5) ","<0.001","","     0 (  0.0) ","   46 (  1.1) ","<0.001","","    12 (  0.0) ","    17 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","   16 (  0.1) ","<0.001",""
"CKD_STAGE_5 = 1 (%)","   126 (  0.0) ","    13 (  0.0) ","  113 (  1.1) ","<0.001","","     0 (  0.0) ","  126 (  3.0) ","<0.001","","    40 (  0.0) ","    52 (  0.0) ","    0 (  0.0) ","    2 (  0.0) ","    5 (  0.0) ","    0 (  0.0) ","   27 (  0.1) ","<0.001",""
"CLINIC = 1 (%)","211201 ( 21.6) ","208812 ( 21.6) "," 2389 ( 23.6) ","<0.001","","210211 ( 21.6) ","  990 ( 24.0) ","<0.001","","129138 ( 22.9) "," 48341 ( 16.4) "," 3369 ( 54.8) "," 1925 ( 14.3) ","21951 ( 32.7) ","  141 ( 15.1) "," 6336 ( 20.4) ","<0.001",""
"COPD = 1 (%)"," 79521 (  8.1) "," 78340 (  8.1) "," 1181 ( 11.7) ","<0.001",""," 79008 (  8.1) ","  513 ( 12.4) ","<0.001",""," 39616 (  7.0) "," 31254 ( 10.6) ","  438 (  7.1) ","  949 (  7.0) "," 4520 (  6.7) ","   76 (  8.1) "," 2668 (  8.6) ","<0.001",""
"CVA = 1 (%)","  1383 (  0.1) ","  1265 (  0.1) ","  118 (  1.2) ","<0.001","","  1293 (  0.1) ","   90 (  2.2) ","<0.001","","   709 (  0.1) ","   397 (  0.1) ","    5 (  0.1) ","   18 (  0.1) ","   59 (  0.1) ","    0 (  0.0) ","  195 (  0.6) ","<0.001",""
"CVD_HOSP = 1 (%)"," 10897 (  1.1) "," 10479 (  1.1) ","  418 (  4.1) ","<0.001",""," 10610 (  1.1) ","  287 (  6.9) ","<0.001","","  6263 (  1.1) ","  2742 (  0.9) ","   76 (  1.2) ","  118 (  0.9) ","  767 (  1.1) ","   12 (  1.3) ","  919 (  3.0) ","<0.001",""
"DIALYSIS = 1 (%)","   130 (  0.0) ","    15 (  0.0) ","  115 (  1.1) ","<0.001","","     2 (  0.0) ","  128 (  3.1) ","<0.001","","    42 (  0.0) ","    54 (  0.0) ","    0 (  0.0) ","    2 (  0.0) ","    5 (  0.0) ","    0 (  0.0) ","   27 (  0.1) ","<0.001",""
"DM = 1 (%)","  7759 (  0.8) ","  7399 (  0.8) ","  360 (  3.6) ","<0.001","","  7548 (  0.8) ","  211 (  5.1) ","<0.001","","  3903 (  0.7) ","  3115 (  1.1) ","   41 (  0.7) ","   81 (  0.6) ","  338 (  0.5) ","    7 (  0.7) ","  274 (  0.9) ","<0.001",""
"DYSRHYTH = 1 (%)","  5580 (  0.6) ","  5266 (  0.5) ","  314 (  3.1) ","<0.001","","  5382 (  0.6) ","  198 (  4.8) ","<0.001","","  3027 (  0.5) ","  1745 (  0.6) ","   30 (  0.5) ","   74 (  0.5) ","  224 (  0.3) ","    2 (  0.2) ","  478 (  1.5) ","<0.001",""
"ED = 1 (%)","383994 ( 39.3) ","378269 ( 39.1) "," 5725 ( 56.6) ","<0.001","","381381 ( 39.2) "," 2613 ( 63.2) ","<0.001","","206774 ( 36.7) ","135284 ( 45.8) "," 2396 ( 39.0) "," 3075 ( 22.8) ","24486 ( 36.5) ","  245 ( 26.2) ","11734 ( 37.8) ","<0.001",""
"GI = 1 (%)","  3043 (  0.3) ","  2899 (  0.3) ","  144 (  1.4) ","<0.001","","  2956 (  0.3) ","   87 (  2.1) ","<0.001","","  1838 (  0.3) ","   755 (  0.3) ","   16 (  0.3) ","   41 (  0.3) ","  178 (  0.3) ","    4 (  0.4) ","  211 (  0.7) ","<0.001",""
"HOMEHEALTH = 1 (%)","  3951 (  0.4) ","  3614 (  0.4) ","  337 (  3.3) ","<0.001","","  3691 (  0.4) ","  260 (  6.3) ","<0.001","","  1496 (  0.3) ","  1207 (  0.4) ","   19 (  0.3) ","   83 (  0.6) ","  454 (  0.7) ","    2 (  0.2) ","  690 (  2.2) ","<0.001",""
"HTN = 1 (%)","  6786 (  0.7) ","  5984 (  0.6) ","  802 (  7.9) ","<0.001","","  6204 (  0.6) ","  582 ( 14.1) ","<0.001","","  2776 (  0.5) ","  3175 (  1.1) ","   18 (  0.3) ","  137 (  1.0) ","  357 (  0.5) ","    7 (  0.7) ","  316 (  1.0) ","<0.001",""
"ICDCRTD = 1 (%)","     5 (  0.0) ","     5 (  0.0) ","    0 (  0.0) "," 1.000","","     5 (  0.0) ","    0 (  0.0) "," 1.000","","     1 (  0.0) ","     2 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    1 (  0.0) "," 0.302",""
"INF_HOSP = 1 (%)","379570 ( 38.8) ","373081 ( 38.6) "," 6489 ( 64.2) ","<0.001","","376794 ( 38.7) "," 2776 ( 67.2) ","<0.001","","232567 ( 41.2) ","102082 ( 34.6) "," 2238 ( 36.4) "," 4954 ( 36.8) ","25166 ( 37.5) ","  345 ( 36.9) ","12218 ( 39.3) ","<0.001",""
"LABXRAY = 1 (%)","632832 ( 64.7) ","622940 ( 64.4) "," 9892 ( 97.9) ","<0.001","","628763 ( 64.6) "," 4069 ( 98.5) ","<0.001","","362041 ( 64.2) ","194711 ( 65.9) "," 3825 ( 62.2) "," 7912 ( 58.8) ","43825 ( 65.3) ","  562 ( 60.2) ","19956 ( 64.2) ","<0.001",""
"LIVERDIS = 1 (%)","  1251 (  0.1) ","  1134 (  0.1) ","  117 (  1.2) ","<0.001","","  1177 (  0.1) ","   74 (  1.8) ","<0.001","","   671 (  0.1) ","   352 (  0.1) ","    7 (  0.1) ","   41 (  0.3) ","   76 (  0.1) ","    3 (  0.3) ","  101 (  0.3) ","<0.001",""
"NONKIDNEYTX = 1 (%)","   235 (  0.0) ","   178 (  0.0) ","   57 (  0.6) ","<0.001","","   186 (  0.0) ","   49 (  1.2) ","<0.001","","   112 (  0.0) ","    70 (  0.0) ","    3 (  0.0) ","    2 (  0.0) ","   13 (  0.0) ","    0 (  0.0) ","   35 (  0.1) ","<0.001",""
"NONPEDCONG = 1 (%)","  4280 (  0.4) ","  3956 (  0.4) ","  324 (  3.2) ","<0.001","","  4032 (  0.4) ","  248 (  6.0) ","<0.001","","  2225 (  0.4) ","  1318 (  0.4) ","   20 (  0.3) ","   62 (  0.5) ","  200 (  0.3) ","    1 (  0.1) ","  454 (  1.5) ","<0.001",""
"OPHOSPITAL = 1 (%)","444416 ( 45.5) ","437111 ( 45.2) "," 7305 ( 72.3) ","<0.001","","441063 ( 45.3) "," 3353 ( 81.1) ","<0.001","","239424 ( 42.5) ","154926 ( 52.5) "," 2689 ( 43.7) "," 4111 ( 30.5) ","28373 ( 42.3) ","  319 ( 34.2) ","14574 ( 46.9) ","<0.001",""
"OTHCARDIAC = 1 (%)"," 13885 (  1.4) "," 13415 (  1.4) ","  470 (  4.6) ","<0.001",""," 13594 (  1.4) ","  291 (  7.0) ","<0.001","","  8005 (  1.4) ","  3954 (  1.3) ","   85 (  1.4) ","  162 (  1.2) ","  821 (  1.2) ","   14 (  1.5) ","  844 (  2.7) ","<0.001",""
"PAD = 1 (%)","    32 (  0.0) ","    26 (  0.0) ","    6 (  0.1) ","<0.001","","    29 (  0.0) ","    3 (  0.1) ","<0.001","","    12 (  0.0) ","    13 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","    6 (  0.0) ","<0.001",""
"PCI = 1 (%)","     3 (  0.0) ","     3 (  0.0) ","    0 (  0.0) "," 1.000","","     3 (  0.0) ","    0 (  0.0) "," 1.000","","     1 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.001",""
"PEDCKD = 1 (%)"," 10108 (  1.0) ","     0 (  0.0) ","10108 (100.0) ","<0.001","","  6337 (  0.7) "," 3771 ( 91.2) ","<0.001","","  6272 (  1.1) ","  2392 (  0.8) ","   49 (  0.8) ","  119 (  0.9) ","  625 (  0.9) ","   11 (  1.2) ","  640 (  2.1) ","<0.001",""
"PEDCONG = 1 (%)","  6953 (  0.7) ","  6612 (  0.7) ","  341 (  3.4) ","<0.001","","  6678 (  0.7) ","  275 (  6.7) ","<0.001","","  3915 (  0.7) ","  1629 (  0.6) ","   46 (  0.7) ","   73 (  0.5) ","  472 (  0.7) ","    6 (  0.6) ","  812 (  2.6) ","<0.001",""
"PHYSICIANF = 1 (%)","876439 ( 89.6) ","866666 ( 89.6) "," 9773 ( 96.7) ","<0.001","","872380 ( 89.6) "," 4059 ( 98.2) ","<0.001","","504746 ( 89.5) ","268378 ( 90.9) "," 4741 ( 77.1) ","12498 ( 92.8) ","57551 ( 85.8) ","  854 ( 91.4) ","27671 ( 89.1) ","<0.001",""
"PSYCH = 0 (%)","977811 (100.0) ","967703 (100.0) ","10108 (100.0) "," NA","","973678 (100.0) "," 4133 (100.0) "," NA","","563869 (100.0) ","295242 (100.0) "," 6150 (100.0) ","13462 (100.0) ","67088 (100.0) ","  934 (100.0) ","31066 (100.0) "," NA",""
"PVD = 1 (%)","  1148 (  0.1) ","  1003 (  0.1) ","  145 (  1.4) ","<0.001","","  1046 (  0.1) ","  102 (  2.5) ","<0.001","","   665 (  0.1) ","   292 (  0.1) ","   10 (  0.2) ","   11 (  0.1) ","   38 (  0.1) ","    1 (  0.1) ","  131 (  0.4) ","<0.001",""
"RCPNT_DLVRY = 1 (%)"," 48637 (  5.0) "," 47716 (  4.9) ","  921 (  9.1) ","<0.001",""," 47923 (  4.9) ","  714 ( 17.3) ","<0.001",""," 25125 (  4.5) "," 15216 (  5.2) ","  265 (  4.3) ","  627 (  4.7) "," 4090 (  6.1) ","   45 (  4.8) "," 3269 ( 10.5) ","<0.001",""
"SNF = 0 (%)","977811 (100.0) ","967703 (100.0) ","10108 (100.0) "," NA","","973678 (100.0) "," 4133 (100.0) "," NA","","563869 (100.0) ","295242 (100.0) "," 6150 (100.0) ","13462 (100.0) ","67088 (100.0) ","  934 (100.0) ","31066 (100.0) "," NA",""
"TRANSPLANT = 1 (%)","   110 (  0.0) ","    22 (  0.0) ","   88 (  0.9) ","<0.001","","    26 (  0.0) ","   84 (  2.0) ","<0.001","","    55 (  0.0) ","    36 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    6 (  0.0) ","    0 (  0.0) ","   13 (  0.0) ","<0.001",""
"age (mean (sd))","  9.56 (6.04)","  9.54 (6.04)","11.04 (6.67)","<0.001","","  9.55 (6.04)"," 9.80 (7.34)"," 0.010","","  9.50 (5.98)"," 10.04 (6.16)"," 9.90 (5.89)"," 9.36 (5.91)"," 8.63 (5.67)"," 9.97 (5.86)"," 7.92 (6.40)","<0.001",""
"died = 1 (%)","     3 (  0.0) ","     1 (  0.0) ","    2 (  0.0) ","<0.001","","     1 (  0.0) ","    2 (  0.0) ","<0.001","","     2 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.0) "," 0.133",""
