"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"n","977720","233388","254454","176436","160498","152944","","","","231212","252554","175011","158533","150303"," 2176"," 1900"," 1425"," 1965"," 2641","","",""
"EL_SEX_CD = M (%)","485260 ( 49.6) ","119930 ( 51.4) ","130784 ( 51.4) "," 91089 ( 51.6) "," 81049 ( 50.5) "," 62408 ( 40.8) ","<0.001",""," 0.091","118774 ( 51.4) ","129942 ( 51.5) "," 90419 ( 51.7) "," 80159 ( 50.6) "," 61524 ( 40.9) "," 1156 ( 53.1) ","  842 ( 44.3) ","  670 ( 47.0) ","  890 ( 45.3) ","  884 ( 33.5) ","<0.001",""," 0.140"
"race (%)","","","","","","","<0.001",""," 0.133","","","","",""," "," "," "," "," ","<0.001",""," 0.233"
"   White","563823 ( 57.7) ","133696 ( 57.3) ","149823 ( 58.9) ","102931 ( 58.3) "," 92987 ( 57.9) "," 84386 ( 55.2) ","","","","132435 ( 57.3) ","148533 ( 58.8) ","102062 ( 58.3) "," 91786 ( 57.9) "," 82735 ( 55.0) "," 1261 ( 58.0) "," 1290 ( 67.9) ","  869 ( 61.0) "," 1201 ( 61.1) "," 1651 ( 62.5) ","","",""
"   Black","295202 ( 30.2) "," 65710 ( 28.2) "," 72008 ( 28.3) "," 52148 ( 29.6) "," 51216 ( 31.9) "," 54120 ( 35.4) ","","",""," 65341 ( 28.3) "," 71663 ( 28.4) "," 51765 ( 29.6) "," 50656 ( 32.0) "," 53386 ( 35.5) ","  369 ( 17.0) ","  345 ( 18.2) ","  383 ( 26.9) ","  560 ( 28.5) ","  734 ( 27.8) ","","",""
"   Native American","  6150 (  0.6) ","  1270 (  0.5) ","  1624 (  0.6) ","  1214 (  0.7) ","  1070 (  0.7) ","   972 (  0.6) ","","","","  1266 (  0.5) ","  1616 (  0.6) ","  1204 (  0.7) ","  1062 (  0.7) ","   953 (  0.6) ","    4 (  0.2) ","    8 (  0.4) ","   10 (  0.7) ","    8 (  0.4) ","   19 (  0.7) ","","",""
"   Asian or PI"," 13462 (  1.4) ","  3218 (  1.4) ","  3626 (  1.4) ","  2537 (  1.4) ","  2204 (  1.4) ","  1877 (  1.2) ","","","","  3180 (  1.4) ","  3605 (  1.4) ","  2518 (  1.4) ","  2184 (  1.4) ","  1856 (  1.2) ","   38 (  1.7) ","   21 (  1.1) ","   19 (  1.3) ","   20 (  1.0) ","   21 (  0.8) ","","",""
"   Hispanic"," 67086 (  6.9) "," 17494 (  7.5) "," 20043 (  7.9) "," 12937 (  7.3) ","  9550 (  6.0) ","  7062 (  4.6) ","","",""," 17321 (  7.5) "," 19910 (  7.9) "," 12845 (  7.3) ","  9441 (  6.0) ","  6944 (  4.6) ","  173 (  8.0) ","  133 (  7.0) ","   92 (  6.5) ","  109 (  5.5) ","  118 (  4.5) ","","",""
"   NH PI","   934 (  0.1) ","   192 (  0.1) ","   224 (  0.1) ","   212 (  0.1) ","   162 (  0.1) ","   144 (  0.1) ","","","","   191 (  0.1) ","   220 (  0.1) ","   212 (  0.1) ","   159 (  0.1) ","   141 (  0.1) ","    1 (  0.0) ","    4 (  0.2) ","    0 (  0.0) ","    3 (  0.2) ","    3 (  0.1) ","","",""
"   NA."," 31063 (  3.2) "," 11808 (  5.1) ","  7106 (  2.8) ","  4457 (  2.5) ","  3309 (  2.1) ","  4383 (  2.9) ","","",""," 11478 (  5.0) ","  7007 (  2.8) ","  4405 (  2.5) ","  3245 (  2.0) ","  4288 (  2.9) ","  330 ( 15.2) ","   99 (  5.2) ","   52 (  3.6) ","   64 (  3.3) ","   95 (  3.6) ","","",""
"total_elig_months (mean (sd))"," 11.12 (1.93)"," 10.57 (2.38)"," 11.41 (1.59)"," 11.45 (1.55)"," 11.40 (1.61)"," 10.79 (2.15)","<0.001",""," 0.240"," 10.57 (2.38)"," 11.40 (1.60)"," 11.44 (1.55)"," 11.40 (1.61)"," 10.79 (2.16)","10.39 (2.50)","11.62 (1.28)","11.61 (1.35)","11.56 (1.38)","11.07 (1.91)","<0.001",""," 0.273"
"elig_cat (%)","","","","","",""," NaN",""," 0.221","","","","",""," "," "," "," "," "," NaN",""," 0.262"
"   0 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 59672 (  6.1) "," 25617 ( 11.0) ","  9443 (  3.7) ","  6116 (  3.5) ","  6078 (  3.8) "," 12418 (  8.1) ","","",""," 25346 ( 11.0) ","  9404 (  3.7) ","  6072 (  3.5) ","  6027 (  3.8) "," 12265 (  8.2) ","  271 ( 12.5) ","   39 (  2.1) ","   44 (  3.1) ","   51 (  2.6) ","  153 (  5.8) ","","",""
"   7-9 months"," 83018 (  8.5) "," 29332 ( 12.6) "," 15344 (  6.0) "," 10062 (  5.7) ","  9969 (  6.2) "," 18311 ( 12.0) ","","",""," 29014 ( 12.5) "," 15265 (  6.0) "," 10021 (  5.7) ","  9884 (  6.2) "," 18052 ( 12.0) ","  318 ( 14.6) ","   79 (  4.2) ","   41 (  2.9) ","   85 (  4.3) ","  259 (  9.8) ","","",""
