"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"n","977720","233388","299097","131793","200549","112893","","","","231996","298306","131492","199804","111990"," 1392","  791","  301","  745","  903","","",""
"EL_SEX_CD = M (%)","485260 ( 49.6) ","119930 ( 51.4) ","153955 ( 51.5) "," 67918 ( 51.5) ","100106 ( 49.9) "," 43351 ( 38.4) ","<0.001",""," 0.113","119108 ( 51.3) ","153535 ( 51.5) "," 67739 ( 51.5) "," 99776 ( 49.9) "," 43052 ( 38.4) ","  822 ( 59.1) ","  420 ( 53.1) ","  179 ( 59.5) ","  330 ( 44.3) ","  299 ( 33.1) ","<0.001",""," 0.195"
"race (%)","","","","","","","<0.001",""," 0.135","","","","",""," ","  ","  ","  ","  ","<0.001",""," 0.270"
"   White","563823 ( 57.7) ","133696 ( 57.3) ","175944 ( 58.8) "," 76810 ( 58.3) ","115072 ( 57.4) "," 62301 ( 55.2) ","","","","132902 ( 57.3) ","175419 ( 58.8) "," 76622 ( 58.3) ","114628 ( 57.4) "," 61757 ( 55.1) ","  794 ( 57.0) ","  525 ( 66.4) ","  188 ( 62.5) ","  444 ( 59.6) ","  544 ( 60.2) ","","",""
"   Black","295202 ( 30.2) "," 65710 ( 28.2) "," 84893 ( 28.4) "," 39263 ( 29.8) "," 65386 ( 32.6) "," 39950 ( 35.4) ","","",""," 65493 ( 28.2) "," 84757 ( 28.4) "," 39186 ( 29.8) "," 65188 ( 32.6) "," 39692 ( 35.4) ","  217 ( 15.6) ","  136 ( 17.2) ","   77 ( 25.6) ","  198 ( 26.6) ","  258 ( 28.6) ","","",""
"   Native American","  6150 (  0.6) ","  1270 (  0.5) ","  1916 (  0.6) ","   922 (  0.7) ","  1331 (  0.7) ","   711 (  0.6) ","","","","  1268 (  0.5) ","  1912 (  0.6) ","   922 (  0.7) ","  1329 (  0.7) ","   701 (  0.6) ","    2 (  0.1) ","    4 (  0.5) ","    0 (  0.0) ","    2 (  0.3) ","   10 (  1.1) ","","",""
"   Asian or PI"," 13462 (  1.4) ","  3218 (  1.4) ","  4256 (  1.4) ","  1907 (  1.4) ","  2685 (  1.3) ","  1396 (  1.2) ","","","","  3195 (  1.4) ","  4252 (  1.4) ","  1900 (  1.4) ","  2679 (  1.3) ","  1387 (  1.2) ","   23 (  1.7) ","    4 (  0.5) ","    7 (  2.3) ","    6 (  0.8) ","    9 (  1.0) ","","",""
"   Hispanic"," 67086 (  6.9) "," 17494 (  7.5) "," 23534 (  7.9) ","  9446 (  7.2) "," 11608 (  5.8) ","  5004 (  4.4) ","","",""," 17376 (  7.5) "," 23469 (  7.9) ","  9430 (  7.2) "," 11554 (  5.8) ","  4959 (  4.4) ","  118 (  8.5) ","   65 (  8.2) ","   16 (  5.3) ","   54 (  7.2) ","   45 (  5.0) ","","",""
"   NH PI","   934 (  0.1) ","   192 (  0.1) ","   283 (  0.1) ","   153 (  0.1) ","   206 (  0.1) ","   100 (  0.1) ","","","","   191 (  0.1) ","   281 (  0.1) ","   153 (  0.1) ","   205 (  0.1) ","    99 (  0.1) ","    1 (  0.1) ","    2 (  0.3) ","    0 (  0.0) ","    1 (  0.1) ","    1 (  0.1) ","","",""
"   NA."," 31063 (  3.2) "," 11808 (  5.1) ","  8271 (  2.8) ","  3292 (  2.5) ","  4261 (  2.1) ","  3431 (  3.0) ","","",""," 11571 (  5.0) ","  8216 (  2.8) ","  3279 (  2.5) ","  4221 (  2.1) ","  3395 (  3.0) ","  237 ( 17.0) ","   55 (  7.0) ","   13 (  4.3) ","   40 (  5.4) ","   36 (  4.0) ","","",""
