"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"n","   908096","   218870","   282076","   118722","   188087","   100341","","","","   217773","   281334","   118449","   187456","    99561","     1097","      742","      273","      631","      780","","",""
"EL_SEX_CD = M (%)","   450200 ( 49.6) ","   112290 ( 51.3) ","   145210 ( 51.5) ","    61383 ( 51.7) ","    93605 ( 49.8) ","    37712 ( 37.6) ","<0.001",""," 0.122","   111648 ( 51.3) ","   144845 ( 51.5) ","    61230 ( 51.7) ","    93317 ( 49.8) ","    37473 ( 37.6) ","      642 ( 58.5) ","      365 ( 49.2) ","      153 ( 56.0) ","      288 ( 45.6) ","      239 ( 30.6) ","<0.001",""," 0.190"
"race (%)","   ","   ","   ","   ","   ","   ","<0.001",""," 0.126","   ","   ","   ","   ","    ","     ","      ","      ","      ","      ","<0.001",""," 0.246"
"   White","   523193 ( 57.6) ","   129582 ( 59.2) ","   164162 ( 58.2) ","    68896 ( 58.0) ","   105370 ( 56.0) ","    55183 ( 55.0) ","","","","   128915 ( 59.2) ","   163693 ( 58.2) ","    68729 ( 58.0) ","   104997 ( 56.0) ","    54695 ( 54.9) ","      667 ( 60.8) ","      469 ( 63.2) ","      167 ( 61.2) ","      373 ( 59.1) ","      488 ( 62.6) ","","",""
"   Black","   283593 ( 31.2) ","    63059 ( 28.8) ","    82659 ( 29.3) ","    36491 ( 30.7) ","    64867 ( 34.5) ","    36517 ( 36.4) ","","","","    62854 ( 28.9) ","    82511 ( 29.3) ","    36414 ( 30.7) ","    64680 ( 34.5) ","    36278 ( 36.4) ","      205 ( 18.7) ","      148 ( 19.9) ","       77 ( 28.2) ","      187 ( 29.6) ","      239 ( 30.6) ","","",""
"   Native American","     5571 (  0.6) ","     1108 (  0.5) ","     1826 (  0.6) ","      824 (  0.7) ","     1218 (  0.6) ","      595 (  0.6) ","","","","     1107 (  0.5) ","     1823 (  0.6) ","      824 (  0.7) ","     1216 (  0.6) ","      590 (  0.6) ","        1 (  0.1) ","        3 (  0.4) ","        0 (  0.0) ","        2 (  0.3) ","        5 (  0.6) ","","",""
"   Asian or PI","    12638 (  1.4) ","     2941 (  1.3) ","     4187 (  1.5) ","     1731 (  1.5) ","     2617 (  1.4) ","     1162 (  1.2) ","","","","     2926 (  1.3) ","     4177 (  1.5) ","     1727 (  1.5) ","     2608 (  1.4) ","     1153 (  1.2) ","       15 (  1.4) ","       10 (  1.3) ","        4 (  1.5) ","        9 (  1.4) ","        9 (  1.2) ","","",""
"   Hispanic","    61685 (  6.8) ","    15122 (  6.9) ","    23117 (  8.2) ","     8520 (  7.2) ","    10591 (  5.6) ","     4335 (  4.3) ","","","","    15025 (  6.9) ","    23036 (  8.2) ","     8507 (  7.2) ","    10563 (  5.6) ","     4314 (  4.3) ","       97 (  8.8) ","       81 ( 10.9) ","       13 (  4.8) ","       28 (  4.4) ","       21 (  2.7) ","","",""
"   NA.","    21416 (  2.4) ","     7058 (  3.2) ","     6125 (  2.2) ","     2260 (  1.9) ","     3424 (  1.8) ","     2549 (  2.5) ","","","","     6946 (  3.2) ","     6094 (  2.2) ","     2248 (  1.9) ","     3392 (  1.8) ","     2531 (  2.5) ","      112 ( 10.2) ","       31 (  4.2) ","       12 (  4.4) ","       32 (  5.1) ","       18 (  2.3) ","","",""
"total_elig_months (mean (sd))","    11.15 (1.88)","    10.74 (2.19)","    11.42 (1.58)","    11.46 (1.53)","    11.37 (1.64)","    10.50 (2.34)","<0.001",""," 0.265","    10.74 (2.19)","    11.42 (1.58)","    11.46 (1.53)","    11.37 (1.64)","    10.50 (2.34)","    10.45 (2.42)","    11.67 (1.15)","    11.62 (1.26)","    11.46 (1.56)","    10.74 (2.15)","<0.001",""," 0.293"
