"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test","SMD"
"n","  1943717","  1559143","    25548","","","","  1145581","   609338","    10952","    30277","   107052","    40517","","",""
"EL_SEX_CD = M (%)","   835795 ( 43.0) ","   651675 ( 41.8) ","    10794 ( 42.2) "," 0.147",""," 0.009","   488998 ( 42.7) ","   261450 ( 42.9) ","     4913 ( 44.9) ","    13436 ( 44.4) ","    47824 ( 44.7) ","    19174 ( 47.3) ","<0.001",""," 0.039"
"race (%)","  ","  ","    ","<0.001",""," 0.237","  ","   ","    ","    ","   ","    ","<0.001",""," NaN"
"   White","  1145581 ( 58.9) ","   930882 ( 59.7) ","    13062 ( 51.1) ","","","","  1145581 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Black","   609338 ( 31.3) ","   482432 ( 30.9) ","    10615 ( 41.5) ","","","","        0 (  0.0) ","   609338 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Native American","    10952 (  0.6) ","     8939 (  0.6) ","       99 (  0.4) ","","","","        0 (  0.0) ","        0 (  0.0) ","    10952 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Asian or PI","    30277 (  1.6) ","    23207 (  1.5) ","      354 (  1.4) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    30277 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Hispanic","   107052 (  5.5) ","    82302 (  5.3) ","      824 (  3.2) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","   107052 (100.0) ","        0 (  0.0) ","","",""
"   NA.","    40517 (  2.1) ","    31381 (  2.0) ","      594 (  2.3) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    40517 (100.0) ","","",""
"total_elig_months (mean (sd))","    10.67 (2.32)","    10.93 (2.07)","    10.78 (2.24)","<0.001",""," 0.070","    10.61 (2.35)","    10.85 (2.18)","    10.55 (2.41)","    10.63 (2.36)","    10.45 (2.49)","    10.31 (2.54)","<0.001",""," 0.092"
