"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"n","  1213765","   687771","   525994","","","","   685543","   511969","     2228","    14025","","",""
"EL_SEX_CD = M (%)","   495587 ( 40.8) ","   341960 ( 49.7) ","   153627 ( 29.2) ","<0.001",""," 0.429","   340845 ( 49.7) ","   147728 ( 28.9) ","     1115 ( 50.0) ","     5899 ( 42.1) ","<0.001",""," 0.247"
"race (%)","  ","   ","   ","<0.001",""," 0.195","   ","   ","     ","    ","<0.001",""," 0.269"
"   White","   733005 ( 60.4) ","   400287 ( 58.2) ","   332718 ( 63.3) ","","","","   398888 ( 58.2) ","   326036 ( 63.7) ","     1399 ( 62.8) ","     6682 ( 47.6) ","","",""
"   Black","   382332 ( 31.5) ","   220341 ( 32.0) ","   161991 ( 30.8) ","","","","   219739 ( 32.1) ","   155449 ( 30.4) ","      602 ( 27.0) ","     6542 ( 46.6) ","","",""
"   Native American","     7048 (  0.6) ","     4663 (  0.7) ","     2385 (  0.5) ","","","","     4647 (  0.7) ","     2321 (  0.5) ","       16 (  0.7) ","       64 (  0.5) ","","",""
"   Asian or PI","    16539 (  1.4) ","     8357 (  1.2) ","     8182 (  1.6) ","","","","     8326 (  1.2) ","     7979 (  1.6) ","       31 (  1.4) ","      203 (  1.4) ","","",""
"   Hispanic","    62032 (  5.1) ","    46731 (  6.8) ","    15301 (  2.9) ","","","","    46580 (  6.8) ","    14876 (  2.9) ","      151 (  6.8) ","      425 (  3.0) ","","",""
"   NA.","    12809 (  1.1) ","     7392 (  1.1) ","     5417 (  1.0) ","","","","     7363 (  1.1) ","     5308 (  1.0) ","       29 (  1.3) ","      109 (  0.8) ","","",""
"total_elig_months (mean (sd))","    11.04 (2.02)","    11.12 (1.95)","    10.94 (2.10)","<0.001",""," 0.090","    11.13 (1.95)","    10.94 (2.10)","    10.66 (2.35)","    10.90 (2.16)","<0.001",""," 0.111"
"elig_cat (%)","  ","   ","   "," NaN",""," 0.095","   ","   ","     ","    "," NaN",""," 0.113"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","    85315 (  7.0) ","    44846 (  6.5) ","    40469 (  7.7) ","","","","    44596 (  6.5) ","    39275 (  7.7) ","      250 ( 11.2) ","     1194 (  8.5) ","","",""
"   7-9 months","   108044 (  8.9) ","    54428 (  7.9) ","    53616 ( 10.2) ","","","","    54181 (  7.9) ","    52191 ( 10.2) ","      247 ( 11.1) ","     1425 ( 10.2) ","","",""
"   9-12 months","  1020406 ( 84.1) ","   588497 ( 85.6) ","   431909 ( 82.1) ","","","","   586766 ( 85.6) ","   420503 ( 82.1) ","     1731 ( 77.7) ","    11406 ( 81.3) ","","",""
"AKI = 1 (%)","     2500 (  0.2) ","      159 (  0.0) ","     2341 (  0.4) ","<0.001",""," 0.087","        0 (  0.0) ","        0 (  0.0) ","      159 (  7.1) ","     2341 ( 16.7) ","<0.001",""," 0.391"
"ANEMIA = 1 (%)","    41206 (  3.4) ","    13763 (  2.0) ","    27443 (  5.2) ","<0.001",""," 0.173","    13470 (  2.0) ","    20712 (  4.0) ","      293 ( 13.2) ","     6731 ( 48.0) ","<0.001",""," 0.686"
"ASHD = 1 (%)","    18884 (  1.6) ","      240 (  0.0) ","    18644 (  3.5) ","<0.001",""," 0.267","      227 (  0.0) ","    16095 (  3.1) ","       13 (  0.6) ","     2549 ( 18.2) ","<0.001",""," 0.390"
"CABG = 1 (%)","      187 (  0.0) ","        1 (  0.0) ","      186 (  0.0) ","<0.001",""," 0.026","        1 (  0.0) ","      136 (  0.0) ","        0 (  0.0) ","       50 (  0.4) ","<0.001",""," 0.049"
"CANCER = 1 (%)","    13749 (  1.1) ","     1104 (  0.2) ","    12645 (  2.4) ","<0.001",""," 0.200","      983 (  0.1) ","    11542 (  2.3) ","      121 (  5.4) ","     1103 (  7.9) ","<0.001",""," 0.241"
"CASCEA = 1 (%)","       79 (  0.0) ","        0 (  0.0) ","       79 (  0.0) ","<0.001",""," 0.017","        0 (  0.0) ","       66 (  0.0) ","        0 (  0.0) ","       13 (  0.1) ","<0.001",""," 0.026"
"CHF = 1 (%)","    15735 (  1.3) ","      571 (  0.1) ","    15164 (  2.9) ","<0.001",""," 0.233","      507 (  0.1) ","    12007 (  2.3) ","       64 (  2.9) ","     3157 ( 22.5) ","<0.001",""," 0.416"
"CKD = 1 (%)","    16253 (  1.3) ","     2228 (  0.3) ","    14025 (  2.7) ","<0.001",""," 0.194","        0 (  0.0) ","        0 (  0.0) ","     2228 (100.0) ","    14025 (100.0) ","<0.001",""," NaN"
