"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"n","   687771","   187638","   208460","    82804","   143716","    65153","","","","   186834","   208062","    82654","   143308","    64685","      804","      398","      150","      408","      468","","",""
"EL_SEX_CD = M (%)","   341960 ( 49.7) ","    96750 ( 51.6) ","   109098 ( 52.3) ","    43761 ( 52.8) ","    71213 ( 49.6) ","    21138 ( 32.4) ","<0.001",""," 0.179","    96259 ( 51.5) ","   108872 ( 52.3) ","    43683 ( 52.9) ","    71013 ( 49.6) ","    21018 ( 32.5) ","      491 ( 61.1) ","      226 ( 56.8) ","       78 ( 52.0) ","      200 ( 49.0) ","      120 ( 25.6) ","<0.001",""," 0.240"
"race (%)","   ","   ","   ","    ","   ","    ","<0.001",""," 0.137","   ","   ","    ","   ","    ","      ","      ","      ","      ","      ","<0.001",""," 0.205"
"   White","   400287 ( 58.2) ","   112465 ( 59.9) ","   122884 ( 58.9) ","    48665 ( 58.8) ","    78177 ( 54.4) ","    38096 ( 58.5) ","","","","   111934 ( 59.9) ","   122620 ( 58.9) ","    48575 ( 58.8) ","    77947 ( 54.4) ","    37812 ( 58.5) ","      531 ( 66.0) ","      264 ( 66.3) ","       90 ( 60.0) ","      230 ( 56.4) ","      284 ( 60.7) ","","",""
"   Black","   220341 ( 32.0) ","    54516 ( 29.1) ","    62170 ( 29.8) ","    26455 ( 31.9) ","    54534 ( 37.9) ","    22666 ( 34.8) ","","","","    54358 ( 29.1) ","    62073 ( 29.8) ","    26411 ( 32.0) ","    54386 ( 38.0) ","    22511 ( 34.8) ","      158 ( 19.7) ","       97 ( 24.4) ","       44 ( 29.3) ","      148 ( 36.3) ","      155 ( 33.1) ","","",""
"   Native American","     4663 (  0.7) ","     1054 (  0.6) ","     1567 (  0.8) ","      591 (  0.7) ","     1022 (  0.7) ","      429 (  0.7) ","","","","     1048 (  0.6) ","     1566 (  0.8) ","      590 (  0.7) ","     1015 (  0.7) ","      428 (  0.7) ","        6 (  0.7) ","        1 (  0.3) ","        1 (  0.7) ","        7 (  1.7) ","        1 (  0.2) ","","",""
"   Asian or PI","     8357 (  1.2) ","     2422 (  1.3) ","     2682 (  1.3) ","     1015 (  1.2) ","     1580 (  1.1) ","      658 (  1.0) ","","","","     2410 (  1.3) ","     2677 (  1.3) ","     1012 (  1.2) ","     1575 (  1.1) ","      652 (  1.0) ","       12 (  1.5) ","        5 (  1.3) ","        3 (  2.0) ","        5 (  1.2) ","        6 (  1.3) ","","",""
"   Hispanic","    46731 (  6.8) ","    14433 (  7.7) ","    17215 (  8.3) ","     5344 (  6.5) ","     7103 (  4.9) ","     2636 (  4.0) ","","","","    14355 (  7.7) ","    17186 (  8.3) ","     5335 (  6.5) ","     7088 (  4.9) ","     2616 (  4.0) ","       78 (  9.7) ","       29 (  7.3) ","        9 (  6.0) ","       15 (  3.7) ","       20 (  4.3) ","","",""
"   NA.","     7392 (  1.1) ","     2748 (  1.5) ","     1942 (  0.9) ","      734 (  0.9) ","     1300 (  0.9) ","      668 (  1.0) ","","","","     2729 (  1.5) ","     1940 (  0.9) ","      731 (  0.9) ","     1297 (  0.9) ","      666 (  1.0) ","       19 (  2.4) ","        2 (  0.5) ","        3 (  2.0) ","        3 (  0.7) ","        2 (  0.4) ","","",""
"total_elig_months (mean (sd))","    11.12 (1.95)","    10.51 (2.44)","    11.46 (1.53)","    11.50 (1.48)","    11.46 (1.53)","    10.59 (2.28)","<0.001",""," 0.288","    10.51 (2.44)","    11.46 (1.53)","    11.50 (1.48)","    11.46 (1.53)","    10.59 (2.28)","     9.64 (2.83)","    11.65 (1.28)","    11.60 (1.24)","    11.46 (1.50)","    10.58 (2.30)","<0.001",""," 0.359"
"elig_cat (%)","   ","   ","   ","    ","   ","    "," NaN",""," 0.267","   ","   ","    ","   ","    ","      ","      ","      ","      ","      "," NaN",""," 0.342"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","    44846 (  6.5) ","    22911 ( 12.2) ","     7578 (  3.6) ","     2762 (  3.3) ","     5145 (  3.6) ","     6450 (  9.9) ","","","","    22736 ( 12.2) ","     7568 (  3.6) ","     2759 (  3.3) ","     5131 (  3.6) ","     6402 (  9.9) ","      175 ( 21.8) ","       10 (  2.5) ","        3 (  2.0) ","       14 (  3.4) ","       48 ( 10.3) ","","",""
"   7-9 months","    54428 (  7.9) ","    23074 ( 12.3) ","    10808 (  5.2) ","     4152 (  5.0) ","     7583 (  5.3) ","     8811 ( 13.5) ","","","","    22937 ( 12.3) ","    10796 (  5.2) ","     4145 (  5.0) ","     7559 (  5.3) ","     8744 ( 13.5) ","      137 ( 17.0) ","       12 (  3.0) ","        7 (  4.7) ","       24 (  5.9) ","       67 ( 14.3) ","","",""
"   9-12 months","   588497 ( 85.6) ","   141653 ( 75.5) ","   190074 ( 91.2) ","    75890 ( 91.7) ","   130988 ( 91.1) ","    49892 ( 76.6) ","","","","   141161 ( 75.6) ","   189698 ( 91.2) ","    75750 ( 91.6) ","   130618 ( 91.1) ","    49539 ( 76.6) ","      492 ( 61.2) ","      376 ( 94.5) ","      140 ( 93.3) ","      370 ( 90.7) ","      353 ( 75.4) ","","",""
