"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"n","956755","224603","306820","130389","198961","95982","","","","223193","305964","130047","198262","95209","1410","  856","  342","  699","  773","","",""
"EL_SEX_CD = M (%)","479701 ( 50.1) ","115429 ( 51.4) ","158190 ( 51.6) "," 67145 ( 51.5) "," 99815 ( 50.2) ","39122 ( 40.8) ","<0.001",""," 0.092","114567 ( 51.3) ","157735 ( 51.6) "," 66972 ( 51.5) "," 99458 ( 50.2) ","38834 ( 40.8) "," 862 ( 61.1) ","  455 ( 53.2) ","  173 ( 50.6) ","  357 ( 51.1) ","  288 ( 37.3) ","<0.001",""," 0.140"
"race (%)","","","","","","","<0.001",""," 0.287","","","","","","","  ","  ","  ","  ","<0.001",""," 0.378"
"   White","521847 ( 54.5) "," 98562 ( 43.9) ","179009 ( 58.3) "," 75821 ( 58.1) ","114706 ( 57.7) ","53749 ( 56.0) ","","",""," 97986 ( 43.9) ","178475 ( 58.3) "," 75623 ( 58.2) ","114304 ( 57.7) ","53297 ( 56.0) "," 576 ( 40.9) ","  534 ( 62.4) ","  198 ( 57.9) ","  402 ( 57.5) ","  452 ( 58.5) ","","",""
"   Black","270724 ( 28.3) "," 58326 ( 26.0) "," 84596 ( 27.6) "," 36364 ( 27.9) "," 59842 ( 30.1) ","31596 ( 32.9) ","","",""," 58085 ( 26.0) "," 84455 ( 27.6) "," 36280 ( 27.9) "," 59656 ( 30.1) ","31375 ( 33.0) "," 241 ( 17.1) ","  141 ( 16.5) ","   84 ( 24.6) ","  186 ( 26.6) ","  221 ( 28.6) ","","",""
"   Native American","  6343 (  0.7) ","  1343 (  0.6) ","  1944 (  0.6) ","   918 (  0.7) ","  1487 (  0.7) ","  651 (  0.7) ","","","","  1337 (  0.6) ","  1944 (  0.6) ","   913 (  0.7) ","  1481 (  0.7) ","  644 (  0.7) ","   6 (  0.4) ","    0 (  0.0) ","    5 (  1.5) ","    6 (  0.9) ","    7 (  0.9) ","","",""
"   Asian or PI"," 14566 (  1.5) ","  2941 (  1.3) ","  4710 (  1.5) ","  2226 (  1.7) ","  3243 (  1.6) "," 1446 (  1.5) ","","","","  2921 (  1.3) ","  4697 (  1.5) ","  2223 (  1.7) ","  3233 (  1.6) "," 1441 (  1.5) ","  20 (  1.4) ","   13 (  1.5) ","    3 (  0.9) ","   10 (  1.4) ","    5 (  0.6) ","","",""
"   Hispanic"," 69289 (  7.2) "," 16335 (  7.3) "," 23697 (  7.7) "," 10575 (  8.1) "," 13828 (  7.0) "," 4854 (  5.1) ","","",""," 16225 (  7.3) "," 23650 (  7.7) "," 10547 (  8.1) "," 13776 (  6.9) "," 4824 (  5.1) "," 110 (  7.8) ","   47 (  5.5) ","   28 (  8.2) ","   52 (  7.4) ","   30 (  3.9) ","","",""
"   NH PI","   931 (  0.1) ","   203 (  0.1) ","   238 (  0.1) ","   165 (  0.1) ","   227 (  0.1) ","   98 (  0.1) ","","","","   202 (  0.1) ","   236 (  0.1) ","   164 (  0.1) ","   226 (  0.1) ","   98 (  0.1) ","   1 (  0.1) ","    2 (  0.2) ","    1 (  0.3) ","    1 (  0.1) ","    0 (  0.0) ","","",""
"   NA."," 73055 (  7.6) "," 46893 ( 20.9) "," 12626 (  4.1) ","  4320 (  3.3) ","  5628 (  2.8) "," 3588 (  3.7) ","","",""," 46437 ( 20.8) "," 12507 (  4.1) ","  4297 (  3.3) ","  5586 (  2.8) "," 3530 (  3.7) "," 456 ( 32.3) ","  119 ( 13.9) ","   23 (  6.7) ","   42 (  6.0) ","   58 (  7.5) ","","",""
