"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"n","956755","224603","262050","175159","161661","133282","","","","222603","260284","173966","160182","131295"," 2000"," 1766"," 1193"," 1479"," 1987","","",""
"EL_SEX_CD = M (%)","479701 ( 50.1) ","115429 ( 51.4) ","134910 ( 51.5) "," 90425 ( 51.6) "," 81827 ( 50.6) "," 57110 ( 42.8) ","<0.001",""," 0.074","114307 ( 51.4) ","134110 ( 51.5) "," 89870 ( 51.7) "," 81128 ( 50.6) "," 56407 ( 43.0) "," 1122 ( 56.1) ","  800 ( 45.3) ","  555 ( 46.5) ","  699 ( 47.3) ","  703 ( 35.4) ","<0.001",""," 0.133"
"race (%)","","","","","","","<0.001",""," 0.281","","","","",""," "," "," "," "," ","<0.001",""," 0.339"
"   White","521847 ( 54.5) "," 98562 ( 43.9) ","152729 ( 58.3) ","102101 ( 58.3) "," 93109 ( 57.6) "," 75346 ( 56.5) ","","",""," 97696 ( 43.9) ","151657 ( 58.3) ","101381 ( 58.3) "," 92258 ( 57.6) "," 74141 ( 56.5) ","  866 ( 43.3) "," 1072 ( 60.7) ","  720 ( 60.4) ","  851 ( 57.5) "," 1205 ( 60.6) ","","",""
"   Black","270724 ( 28.3) "," 58326 ( 26.0) "," 72431 ( 27.6) "," 48529 ( 27.7) "," 48354 ( 29.9) "," 43084 ( 32.3) ","","",""," 57994 ( 26.1) "," 72064 ( 27.7) "," 48231 ( 27.7) "," 47913 ( 29.9) "," 42551 ( 32.4) ","  332 ( 16.6) ","  367 ( 20.8) ","  298 ( 25.0) ","  441 ( 29.8) ","  533 ( 26.8) ","","",""
"   Native American","  6343 (  0.7) ","  1343 (  0.6) ","  1655 (  0.6) ","  1207 (  0.7) ","  1203 (  0.7) ","   935 (  0.7) ","","","","  1335 (  0.6) ","  1650 (  0.6) ","  1198 (  0.7) ","  1197 (  0.7) ","   919 (  0.7) ","    8 (  0.4) ","    5 (  0.3) ","    9 (  0.8) ","    6 (  0.4) ","   16 (  0.8) ","","",""
"   Asian or PI"," 14566 (  1.5) ","  2941 (  1.3) ","  3988 (  1.5) ","  2948 (  1.7) ","  2642 (  1.6) ","  2047 (  1.5) ","","","","  2913 (  1.3) ","  3967 (  1.5) ","  2930 (  1.7) ","  2626 (  1.6) ","  2027 (  1.5) ","   28 (  1.4) ","   21 (  1.2) ","   18 (  1.5) ","   16 (  1.1) ","   20 (  1.0) ","","",""
"   Hispanic"," 69289 (  7.2) "," 16335 (  7.3) "," 20010 (  7.6) "," 14262 (  8.1) "," 11488 (  7.1) ","  7194 (  5.4) ","","",""," 16199 (  7.3) "," 19896 (  7.6) "," 14179 (  8.2) "," 11403 (  7.1) ","  7106 (  5.4) ","  136 (  6.8) ","  114 (  6.5) ","   83 (  7.0) ","   85 (  5.7) ","   88 (  4.4) ","","",""
"   NH PI","   931 (  0.1) ","   203 (  0.1) ","   205 (  0.1) ","   198 (  0.1) ","   185 (  0.1) ","   140 (  0.1) ","","","","   202 (  0.1) ","   202 (  0.1) ","   197 (  0.1) ","   183 (  0.1) ","   138 (  0.1) ","    1 (  0.0) ","    3 (  0.2) ","    1 (  0.1) ","    2 (  0.1) ","    2 (  0.1) ","","",""
"   NA."," 73055 (  7.6) "," 46893 ( 20.9) "," 11032 (  4.2) ","  5914 (  3.4) ","  4680 (  2.9) ","  4536 (  3.4) ","","",""," 46264 ( 20.8) "," 10848 (  4.2) ","  5850 (  3.4) ","  4602 (  2.9) ","  4413 (  3.4) ","  629 ( 31.4) ","  184 ( 10.4) ","   64 (  5.4) ","   78 (  5.3) ","  123 (  6.2) ","","",""
"total_elig_months (mean (sd))"," 10.98 (2.06)"," 10.32 (2.52)"," 11.27 (1.75)"," 11.36 (1.66)"," 11.32 (1.71)"," 10.61 (2.27)","<0.001",""," 0.266"," 10.32 (2.52)"," 11.27 (1.75)"," 11.36 (1.66)"," 11.32 (1.71)"," 10.61 (2.28)","10.13 (2.61)","11.51 (1.47)","11.52 (1.45)","11.51 (1.45)","10.96 (1.95)","<0.001",""," 0.293"
"elig_cat (%)","","","","","",""," NaN",""," 0.248","","","","",""," "," "," "," "," "," NaN",""," 0.276"
"   0 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 67660 (  7.1) "," 29268 ( 13.0) "," 11998 (  4.6) ","  7071 (  4.0) ","  7013 (  4.3) "," 12310 (  9.2) ","","",""," 28977 ( 13.0) "," 11945 (  4.6) ","  7037 (  4.0) ","  6969 (  4.4) "," 12197 (  9.3) ","  291 ( 14.5) ","   53 (  3.0) ","   34 (  2.8) ","   44 (  3.0) ","  113 (  5.7) ","","",""
