"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test","SMD"
"n","  1823603","  1442315","    22553","","","","  1068986","   591478","     9556","    27512","   100182","    25889","","",""
"EL_SEX_CD (%)","  ","  ","    ","<0.001",""," 0.031","  ","   ","     ","    ","   ","    ","<0.001",""," 0.024"
"   F","  1042706 ( 57.2) ","   843003 ( 58.4) ","    12844 ( 57.0) ","","","","   613242 ( 57.4) ","   338506 ( 57.2) ","     5295 ( 55.4) ","    15366 ( 55.9) ","    55564 ( 55.5) ","    14733 ( 56.9) ","","",""
"   M","   780839 ( 42.8) ","   599303 ( 41.6) ","     9709 ( 43.0) ","","","","   455707 ( 42.6) ","   252955 ( 42.8) ","     4261 ( 44.6) ","    12146 ( 44.1) ","    44618 ( 44.5) ","    11152 ( 43.1) ","","",""
"   U","       58 (  0.0) ","        9 (  0.0) ","        0 (  0.0) ","","","","       37 (  0.0) ","       17 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.0) ","","",""
"race (%)","  ","  ","    ","<0.001",""," 0.219","  ","   ","     ","    ","   ","    ","<0.001",""," NaN"
"   White","  1068986 ( 58.6) ","   857157 ( 59.4) ","    11664 ( 51.7) ","","","","  1068986 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Black","   591478 ( 32.4) ","   464863 ( 32.2) ","     9504 ( 42.1) ","","","","        0 (  0.0) ","   591478 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Native American","     9556 (  0.5) ","     7715 (  0.5) ","       72 (  0.3) ","","","","        0 (  0.0) ","        0 (  0.0) ","     9556 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Asian or PI","    27512 (  1.5) ","    20314 (  1.4) ","      323 (  1.4) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    27512 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Hispanic","   100182 (  5.5) ","    74003 (  5.1) ","      717 (  3.2) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","   100182 (100.0) ","        0 (  0.0) ","","",""
"   NA.","    25889 (  1.4) ","    18263 (  1.3) ","      273 (  1.2) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    25889 (100.0) ","","",""
"total_elig_months (mean (sd))","    10.65 (2.37)","    10.92 (2.13)","    10.86 (2.19)","<0.001",""," 0.028","    10.56 (2.44)","    10.89 (2.18)","    10.54 (2.42)","    10.61 (2.41)","    10.42 (2.54)","    10.07 (2.71)","<0.001",""," 0.128"
"elig_cat (%)","  ","  ","    "," NaN",""," 0.029","  ","   ","     ","    ","   ","    "," NaN",""," 0.124"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","   196942 ( 10.8) ","   114446 (  7.9) ","     1938 (  8.6) ","","","","   125106 ( 11.7) ","    50106 (  8.5) ","     1095 ( 11.5) ","     3027 ( 11.0) ","    13360 ( 13.3) ","     4248 ( 16.4) ","","",""
"   7-9 months","   209035 ( 11.5) ","   146729 ( 10.2) ","     2389 ( 10.6) ","","","","   129655 ( 12.1) ","    57927 (  9.8) ","     1211 ( 12.7) ","     3387 ( 12.3) ","    12862 ( 12.8) ","     3993 ( 15.4) ","","",""
"   9-12 months","  1417626 ( 77.7) ","  1181140 ( 81.9) ","    18226 ( 80.8) ","","","","   814225 ( 76.2) ","   483445 ( 81.7) ","     7250 ( 75.9) ","    21098 ( 76.7) ","    73960 ( 73.8) ","    17648 ( 68.2) ","","",""
"AKI = 1 (%)","     3407 (  0.2) ","        0 (  0.0) ","     3407 ( 15.1) ","<0.001",""," 0.597","     1774 (  0.2) ","     1410 (  0.3) ","       13 (  0.2) ","       59 (  0.3) ","       93 (  0.1) ","       58 (  0.3) ","<0.001",""," 0.020"
"ANEMIA = 1 (%)","    81661 (  5.6) ","    71913 (  5.0) ","     9748 ( 43.2) ","<0.001",""," 0.999","    38499 (  4.4) ","    36577 (  7.7) ","      217 (  2.8) ","     1643 (  8.0) ","     3918 (  5.2) ","      807 (  4.4) ","<0.001",""," 0.109"
"ASHD = 1 (%)","    30816 (  2.1) ","    26352 (  1.8) ","     4464 ( 19.8) ","<0.001",""," 0.604","    18901 (  2.2) ","    10249 (  2.2) ","       95 (  1.2) ","      643 (  3.1) ","      598 (  0.8) ","      330 (  1.8) ","<0.001",""," 0.074"
"CABG = 1 (%)","      195 (  0.0) ","      135 (  0.0) ","       60 (  0.3) ","<0.001",""," 0.069","      141 (  0.0) ","       40 (  0.0) ","        0 (  0.0) ","        5 (  0.0) ","        4 (  0.0) ","        5 (  0.0) ","<0.001",""," 0.012"
"CANCER = 1 (%)","    17979 (  1.2) ","    16088 (  1.1) ","     1891 (  8.4) ","<0.001",""," 0.347","    11234 (  1.3) ","     5765 (  1.2) ","       55 (  0.7) ","      275 (  1.3) ","      404 (  0.5) ","      246 (  1.3) ","<0.001",""," 0.040"
"CASCEA = 1 (%)","       93 (  0.0) ","       65 (  0.0) ","       28 (  0.1) ","<0.001",""," 0.047","       76 (  0.0) ","       10 (  0.0) ","        0 (  0.0) ","        4 (  0.0) ","        1 (  0.0) ","        2 (  0.0) ","<0.001",""," 0.010"
"CHF = 1 (%)","    21594 (  1.5) ","    16765 (  1.2) ","     4829 ( 21.4) ","<0.001",""," 0.675","    12152 (  1.4) ","     8455 (  1.8) ","       57 (  0.7) ","      259 (  1.3) ","      376 (  0.5) ","      295 (  1.6) ","<0.001",""," 0.058"
"CKD = 1 (%)","    22553 (  1.5) ","        0 (  0.0) ","    22553 (100.0) ","<0.001",""," NaN","    11664 (  1.3) ","     9504 (  2.0) ","       72 (  0.9) ","      323 (  1.6) ","      717 (  1.0) ","      273 (  1.5) ","<0.001",""," 0.042"
"CKD_STAGE_1 = 1 (%)","      351 (  0.0) ","        0 (  0.0) ","      351 (  1.6) ","<0.001",""," 0.178","      158 (  0.0) ","      173 (  0.0) ","        1 (  0.0) ","        3 (  0.0) ","       11 (  0.0) ","        5 (  0.0) ","<0.001",""," 0.007"
