"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"n","  1464868","   845788","   619072","","","","   842568","   599739","     3220","    19333","","",""
"EL_SEX_CD (%)","  ","   ","   ","<0.001",""," 0.392","   ","   ","     ","    ","<0.001",""," 0.224"
"   F","   855847 ( 58.4) ","   426804 ( 50.5) ","   429043 ( 69.3) ","","","","   425176 ( 50.5) ","   417827 ( 69.7) ","     1628 ( 50.6) ","    11216 ( 58.0) ","","",""
"   M","   609012 ( 41.6) ","   418983 ( 49.5) ","   190029 ( 30.7) ","","","","   417391 ( 49.5) ","   181912 ( 30.3) ","     1592 ( 49.4) ","     8117 ( 42.0) ","","",""
"   U","        9 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","","","","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"race (%)","  ","   ","   ","<0.001",""," 0.189","   ","   ","     ","    ","<0.001",""," 0.274"
"   White","   868821 ( 59.3) ","   483381 ( 57.2) ","   385434 ( 62.3) ","","","","   481352 ( 57.1) ","   375799 ( 62.7) ","     2029 ( 63.0) ","     9635 ( 49.8) ","","",""
"   Black","   474367 ( 32.4) ","   278174 ( 32.9) ","   196191 ( 31.7) ","","","","   277351 ( 32.9) ","   187510 ( 31.3) ","      823 ( 25.6) ","     8681 ( 44.9) ","","",""
"   Native American","     7787 (  0.5) ","     5124 (  0.6) ","     2663 (  0.4) ","","","","     5110 (  0.6) ","     2605 (  0.4) ","       14 (  0.4) ","       58 (  0.3) ","","",""
"   Asian or PI","    20637 (  1.4) ","    10943 (  1.3) ","     9694 (  1.6) ","","","","    10897 (  1.3) ","     9417 (  1.6) ","       46 (  1.4) ","      277 (  1.4) ","","",""
"   Hispanic","    74720 (  5.1) ","    56454 (  6.7) ","    18266 (  3.0) ","","","","    56227 (  6.7) ","    17776 (  3.0) ","      227 (  7.0) ","      490 (  2.5) ","","",""
"   NA.","    18536 (  1.3) ","    11712 (  1.4) ","     6824 (  1.1) ","","","","    11631 (  1.4) ","     6632 (  1.1) ","       81 (  2.5) ","      192 (  1.0) ","","",""
"total_elig_months (mean (sd))","    10.92 (2.13)","    11.04 (2.02)","    10.74 (2.27)","<0.001",""," 0.139","    11.04 (2.02)","    10.74 (2.28)","    10.89 (2.12)","    10.85 (2.20)","<0.001",""," 0.073"
"elig_cat (%)","  ","   ","   "," NaN",""," 0.129","   ","   ","     ","    "," NaN",""," 0.073"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","   116384 (  7.9) ","    57388 (  6.8) ","    58996 (  9.5) ","","","","    57139 (  6.8) ","    57307 (  9.6) ","      249 (  7.7) ","     1689 (  8.7) ","","",""
"   7-9 months","   149118 ( 10.2) ","    78487 (  9.3) ","    70630 ( 11.4) ","","","","    78132 (  9.3) ","    68596 ( 11.4) ","      355 ( 11.0) ","     2034 ( 10.5) ","","",""
"   9-12 months","  1199366 ( 81.9) ","   709913 ( 83.9) ","   489446 ( 79.1) ","","","","   707297 ( 83.9) ","   473836 ( 79.0) ","     2616 ( 81.2) ","    15610 ( 80.7) ","","",""
"AKI = 1 (%)","     3407 (  0.2) ","      191 (  0.0) ","     3216 (  0.5) ","<0.001",""," 0.096","        0 (  0.0) ","        0 (  0.0) ","      191 (  5.9) ","     3216 ( 16.6) ","<0.001",""," 0.386"
"ANEMIA = 1 (%)","    81661 (  5.6) ","    32243 (  3.8) ","    49418 (  8.0) ","<0.001",""," 0.178","    31788 (  3.8) ","    40125 (  6.7) ","      455 ( 14.1) ","     9293 ( 48.1) ","<0.001",""," 0.625"
"ASHD = 1 (%)","    30816 (  2.1) ","      497 (  0.1) ","    30319 (  4.9) ","<0.001",""," 0.315","      478 (  0.1) ","    25874 (  4.3) ","       19 (  0.6) ","     4445 ( 23.0) ","<0.001",""," 0.451"
"CABG = 1 (%)","      195 (  0.0) ","        0 (  0.0) ","      195 (  0.0) ","<0.001",""," 0.025","        0 (  0.0) ","      135 (  0.0) ","        0 (  0.0) ","       60 (  0.3) ","<0.001",""," 0.045"
"CANCER = 1 (%)","    17979 (  1.2) ","     1480 (  0.2) ","    16499 (  2.7) ","<0.001",""," 0.212","     1325 (  0.2) ","    14763 (  2.5) ","      155 (  4.8) ","     1736 (  9.0) ","<0.001",""," 0.252"
