"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"n","1728401","978043","750358","","","","974078","724583"," 3965","25775","","",""
"EL_SEX_CD = M (%)"," 728732 ( 42.2) ","487561 ( 49.9) ","241171 ( 32.1) ","<0.001",""," 0.366","485558 ( 49.8) ","230242 ( 31.8) "," 2003 ( 50.5) ","10929 ( 42.4) ","<0.001",""," 0.218"
"race (%)","","","","<0.001",""," 0.229","",""," ","","<0.001",""," 0.352"
"   White","1014352 ( 58.7) ","552625 ( 56.5) ","461727 ( 61.5) ","","","","550442 ( 56.5) ","449113 ( 62.0) "," 2183 ( 55.1) ","12614 ( 48.9) ","","",""
"   Black"," 517221 ( 29.9) ","288190 ( 29.5) ","229031 ( 30.5) ","","","","287259 ( 29.5) ","218136 ( 30.1) ","  931 ( 23.5) ","10895 ( 42.3) ","","",""
"   Native American","  10529 (  0.6) ","  6161 (  0.6) ","  4368 (  0.6) ","","","","  6142 (  0.6) ","  4233 (  0.6) ","   19 (  0.5) ","  135 (  0.5) ","","",""
"   Asian or PI","  25379 (  1.5) "," 13558 (  1.4) "," 11821 (  1.6) ","","",""," 13515 (  1.4) "," 11454 (  1.6) ","   43 (  1.1) ","  367 (  1.4) ","","",""
"   Hispanic","  90383 (  5.2) "," 67706 (  6.9) "," 22677 (  3.0) ","","",""," 67434 (  6.9) "," 22014 (  3.0) ","  272 (  6.9) ","  663 (  2.6) ","","",""
"   NH PI","   2423 (  0.1) ","   950 (  0.1) ","  1473 (  0.2) ","","","","   946 (  0.1) ","  1378 (  0.2) ","    4 (  0.1) ","   95 (  0.4) ","","",""
"   NA.","  68114 (  3.9) "," 48853 (  5.0) "," 19261 (  2.6) ","","",""," 48340 (  5.0) "," 18255 (  2.5) ","  513 ( 12.9) "," 1006 (  3.9) ","","",""
