"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"n","978043","232723","259542","176401","160643","148734","","","","230657","257688","175127","158997","146434"," 2066"," 1854"," 1274"," 1646"," 2300","","",""
"EL_SEX_CD = M (%)","487561 ( 49.9) ","119454 ( 51.3) ","133538 ( 51.5) "," 90928 ( 51.5) "," 81123 ( 50.5) "," 62518 ( 42.0) ","<0.001",""," 0.080","118315 ( 51.3) ","132699 ( 51.5) "," 90330 ( 51.6) "," 80349 ( 50.5) "," 61738 ( 42.2) "," 1139 ( 55.1) ","  839 ( 45.3) ","  598 ( 46.9) ","  774 ( 47.0) ","  780 ( 33.9) ","<0.001",""," 0.137"
"race (%)","","","","","","","<0.001",""," 0.208","","","","",""," "," "," "," "," ","<0.001",""," 0.296"
"   White","552625 ( 56.5) ","120247 ( 51.7) ","153610 ( 59.2) ","102947 ( 58.4) "," 93574 ( 58.2) "," 82247 ( 55.3) ","","","","119264 ( 51.7) ","152396 ( 59.1) ","102171 ( 58.3) "," 92608 ( 58.2) "," 80865 ( 55.2) ","  983 ( 47.6) "," 1214 ( 65.5) ","  776 ( 60.9) ","  966 ( 58.7) "," 1382 ( 60.1) ","","",""
"   Black","288190 ( 29.5) "," 63438 ( 27.3) "," 72395 ( 27.9) "," 50891 ( 28.8) "," 49758 ( 31.0) "," 51708 ( 34.8) ","","",""," 63076 ( 27.3) "," 72033 ( 28.0) "," 50559 ( 28.9) "," 49259 ( 31.0) "," 51037 ( 34.9) ","  362 ( 17.5) ","  362 ( 19.5) ","  332 ( 26.1) ","  499 ( 30.3) ","  671 ( 29.2) ","","",""
"   Native American","  6161 (  0.6) ","  1290 (  0.6) ","  1593 (  0.6) ","  1193 (  0.7) ","  1119 (  0.7) ","   966 (  0.6) ","","","","  1283 (  0.6) ","  1588 (  0.6) ","  1187 (  0.7) ","  1109 (  0.7) ","   953 (  0.7) ","    7 (  0.3) ","    5 (  0.3) ","    6 (  0.5) ","   10 (  0.6) ","   13 (  0.6) ","","",""
"   Asian or PI"," 13558 (  1.4) ","  2974 (  1.3) ","  3729 (  1.4) ","  2585 (  1.5) ","  2342 (  1.5) ","  1928 (  1.3) ","","","","  2946 (  1.3) ","  3707 (  1.4) ","  2575 (  1.5) ","  2326 (  1.5) ","  1911 (  1.3) ","   28 (  1.4) ","   22 (  1.2) ","   10 (  0.8) ","   16 (  1.0) ","   17 (  0.7) ","","",""
"   Hispanic"," 67706 (  6.9) "," 17380 (  7.5) "," 19773 (  7.6) "," 13485 (  7.6) ","  9901 (  6.2) ","  7167 (  4.8) ","","",""," 17208 (  7.5) "," 19642 (  7.6) "," 13394 (  7.6) ","  9803 (  6.2) ","  7081 (  4.8) ","  172 (  8.3) ","  131 (  7.1) ","   91 (  7.1) ","   98 (  6.0) ","   86 (  3.7) ","","",""
"   NH PI","   950 (  0.1) ","   193 (  0.1) ","   220 (  0.1) ","   216 (  0.1) ","   191 (  0.1) ","   130 (  0.1) ","","","","   192 (  0.1) ","   218 (  0.1) ","   213 (  0.1) ","   189 (  0.1) ","   129 (  0.1) ","    1 (  0.0) ","    2 (  0.1) ","    3 (  0.2) ","    2 (  0.1) ","    1 (  0.0) ","","",""
"   NA."," 48853 (  5.0) "," 27201 ( 11.7) ","  8222 (  3.2) ","  5084 (  2.9) ","  3758 (  2.3) ","  4588 (  3.1) ","","",""," 26688 ( 11.6) ","  8104 (  3.1) ","  5028 (  2.9) ","  3703 (  2.3) ","  4458 (  3.0) ","  513 ( 24.8) ","  118 (  6.4) ","   56 (  4.4) ","   55 (  3.3) ","  130 (  5.7) ","","",""
