"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test"
"n","978131","968988"," 9143","","","974164"," 3967","","","552671","288224"," 6162","13559","67708","  950","48857","",""
"EL_SEX_CD = M (%)","487583 ( 49.8) ","483453 ( 49.9) "," 4130 ( 45.2) ","<0.001","","485580 ( 49.8) "," 2003 ( 50.5) "," 0.426","","275078 ( 49.8) ","140941 ( 48.9) "," 3090 ( 50.1) "," 6942 ( 51.2) ","33629 ( 49.7) ","  479 ( 50.4) ","27424 ( 56.1) ","<0.001",""
"race (%)","",""," ","<0.001","",""," ","<0.001","","",""," ","","","  ","","<0.001",""
"   White","552671 ( 56.5) ","547347 ( 56.5) "," 5324 ( 58.2) ","","","550486 ( 56.5) "," 2185 ( 55.1) ","","","552671 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Black","288224 ( 29.5) ","285998 ( 29.5) "," 2226 ( 24.3) ","","","287293 ( 29.5) ","  931 ( 23.5) ","","","     0 (  0.0) ","288224 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Native American","  6162 (  0.6) ","  6121 (  0.6) ","   41 (  0.4) ","","","  6143 (  0.6) ","   19 (  0.5) ","","","     0 (  0.0) ","     0 (  0.0) "," 6162 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Asian or PI"," 13559 (  1.4) "," 13466 (  1.4) ","   93 (  1.0) ","",""," 13516 (  1.4) ","   43 (  1.1) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","13559 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Hispanic"," 67708 (  6.9) "," 67130 (  6.9) ","  578 (  6.3) ","",""," 67436 (  6.9) ","  272 (  6.9) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","67708 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   NH PI","   950 (  0.1) ","   941 (  0.1) ","    9 (  0.1) ","","","   946 (  0.1) ","    4 (  0.1) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","  950 (100.0) ","    0 (  0.0) ","",""
"   NA."," 48857 (  5.0) "," 47985 (  5.0) ","  872 (  9.5) ","",""," 48344 (  5.0) ","  513 ( 12.9) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","48857 (100.0) ","",""
"total_elig_months (mean (sd))"," 11.06 (2.00)"," 11.06 (2.00)","11.19 (1.83)","<0.001",""," 11.06 (2.00)","10.96 (2.05)"," 0.003",""," 11.06 (2.00)"," 11.25 (1.79)","10.88 (2.17)","11.03 (2.02)","10.99 (2.08)","11.07 (2.04)","10.11 (2.69)","<0.001",""
"elig_cat (%)","",""," "," NaN","",""," "," NaN","","",""," ","","","  ",""," NaN",""
"   0 months","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   4-6 months"," 65054 (  6.7) "," 64595 (  6.7) ","  459 (  5.0) ","",""," 64782 (  6.7) ","  272 (  6.9) ","",""," 36320 (  6.6) "," 14239 (  4.9) ","  518 (  8.4) ","  913 (  6.7) "," 5095 (  7.5) ","   62 (  6.5) "," 7907 ( 16.2) ","",""
"   7-9 months"," 85850 (  8.8) "," 85078 (  8.8) ","  772 (  8.4) ","",""," 85439 (  8.8) ","  411 ( 10.4) ","",""," 49507 (  9.0) "," 21159 (  7.3) ","  588 (  9.5) "," 1222 (  9.0) "," 6082 (  9.0) ","   87 (  9.2) "," 7205 ( 14.7) ","",""
"   9-12 months","827227 ( 84.6) ","819315 ( 84.6) "," 7912 ( 86.5) ","","","823943 ( 84.6) "," 3284 ( 82.8) ","","","466844 ( 84.5) ","252826 ( 87.7) "," 5056 ( 82.1) ","11424 ( 84.3) ","56531 ( 83.5) ","  801 ( 84.3) ","33745 ( 69.1) ","",""
"AKI = 1 (%)","   359 (  0.0) ","   156 (  0.0) ","  203 (  2.2) ","<0.001","","     0 (  0.0) ","  359 (  9.0) ","<0.001","","   143 (  0.0) ","   144 (  0.0) ","    0 (  0.0) ","    6 (  0.0) ","   10 (  0.0) ","    0 (  0.0) ","   56 (  0.1) ","<0.001",""
"ANEMIA = 1 (%)"," 33487 (  3.4) "," 32513 (  3.4) ","  974 ( 10.7) ","<0.001",""," 32930 (  3.4) ","  557 ( 14.0) ","<0.001",""," 14282 (  2.6) "," 13417 (  4.7) ","   99 (  1.6) ","  698 (  5.1) "," 3115 (  4.6) ","   53 (  5.6) "," 1823 (  3.7) ","<0.001",""
"ASHD = 1 (%)","   411 (  0.0) ","   384 (  0.0) ","   27 (  0.3) ","<0.001","","   391 (  0.0) ","   20 (  0.5) ","<0.001","","   200 (  0.0) ","   165 (  0.1) ","    2 (  0.0) ","    4 (  0.0) ","   15 (  0.0) ","    0 (  0.0) ","   25 (  0.1) ","<0.001",""
"CABG = 1 (%)","     1 (  0.0) ","     1 (  0.0) ","    0 (  0.0) "," 1.000","","     0 (  0.0) ","    1 (  0.0) ","<0.001","","     1 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.993",""
"CANCER = 1 (%)","  1640 (  0.2) ","  1388 (  0.1) ","  252 (  2.8) ","<0.001","","  1468 (  0.2) ","  172 (  4.3) ","<0.001","","   899 (  0.2) ","   340 (  0.1) ","    5 (  0.1) ","   19 (  0.1) ","   78 (  0.1) ","    1 (  0.1) ","  298 (  0.6) ","<0.001",""
"CASCEA = 0 (%)","978131 (100.0) ","968988 (100.0) "," 9143 (100.0) "," NA","","974164 (100.0) "," 3967 (100.0) "," NA","","552671 (100.0) ","288224 (100.0) "," 6162 (100.0) ","13559 (100.0) ","67708 (100.0) ","  950 (100.0) ","48857 (100.0) "," NA",""
"CHF = 1 (%)","   873 (  0.1) ","   777 (  0.1) ","   96 (  1.0) ","<0.001","","   790 (  0.1) ","   83 (  2.1) ","<0.001","","   388 (  0.1) ","   245 (  0.1) ","    4 (  0.1) ","    8 (  0.1) ","   37 (  0.1) ","    0 (  0.0) ","  191 (  0.4) ","<0.001",""
"CKD = 1 (%)","  3967 (  0.4) ","   349 (  0.0) "," 3618 ( 39.6) ","<0.001","","     0 (  0.0) "," 3967 (100.0) ","<0.001","","  2185 (  0.4) ","   931 (  0.3) ","   19 (  0.3) ","   43 (  0.3) ","  272 (  0.4) ","    4 (  0.4) ","  513 (  1.1) ","<0.001",""
"CKD_STAGE_1 = 1 (%)","    79 (  0.0) ","     0 (  0.0) ","   79 (  0.9) ","<0.001","","     0 (  0.0) ","   79 (  2.0) ","<0.001","","    39 (  0.0) ","    28 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    4 (  0.0) ","    0 (  0.0) ","    7 (  0.0) "," 0.411",""
"CKD_STAGE_2 = 1 (%)","    70 (  0.0) ","     0 (  0.0) ","   70 (  0.8) ","<0.001","","     0 (  0.0) ","   70 (  1.8) ","<0.001","","    29 (  0.0) ","    30 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","   10 (  0.0) ","<0.001",""
"CKD_STAGE_3 = 1 (%)","    97 (  0.0) ","     0 (  0.0) ","   97 (  1.1) ","<0.001","","     0 (  0.0) ","   97 (  2.4) ","<0.001","","    35 (  0.0) ","    37 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    2 (  0.0) ","    1 (  0.1) ","   21 (  0.0) ","<0.001",""
"CKD_STAGE_4 = 1 (%)","    46 (  0.0) ","     0 (  0.0) ","   46 (  0.5) ","<0.001","","     0 (  0.0) ","   46 (  1.2) ","<0.001","","    12 (  0.0) ","    19 (  0.0) ","    2 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","   11 (  0.0) ","<0.001",""
"CKD_STAGE_5 = 1 (%)","   140 (  0.0) ","    19 (  0.0) ","  121 (  1.3) ","<0.001","","     0 (  0.0) ","  140 (  3.5) ","<0.001","","    48 (  0.0) ","    49 (  0.0) ","    2 (  0.0) ","    0 (  0.0) ","    8 (  0.0) ","    0 (  0.0) ","   33 (  0.1) ","<0.001",""
"CLINIC = 1 (%)","219529 ( 22.4) ","217362 ( 22.4) "," 2167 ( 23.7) "," 0.004","","218597 ( 22.4) ","  932 ( 23.5) "," 0.117","","134629 ( 24.4) "," 46546 ( 16.1) "," 3456 ( 56.1) "," 2110 ( 15.6) ","22720 ( 33.6) ","  157 ( 16.5) "," 9911 ( 20.3) ","<0.001",""
"COPD = 1 (%)"," 79109 (  8.1) "," 78013 (  8.1) "," 1096 ( 12.0) ","<0.001",""," 78593 (  8.1) ","  516 ( 13.0) ","<0.001",""," 38644 (  7.0) "," 30971 ( 10.7) ","  409 (  6.6) "," 1038 (  7.7) "," 4367 (  6.4) ","   80 (  8.4) "," 3600 (  7.4) ","<0.001",""
"CVA = 1 (%)","  1281 (  0.1) ","  1185 (  0.1) ","   96 (  1.0) ","<0.001","","  1214 (  0.1) ","   67 (  1.7) ","<0.001","","   673 (  0.1) ","   309 (  0.1) ","    6 (  0.1) ","   28 (  0.2) ","   70 (  0.1) ","    0 (  0.0) ","  195 (  0.4) ","<0.001",""
"CVD_HOSP = 1 (%)"," 11036 (  1.1) "," 10599 (  1.1) ","  437 (  4.8) ","<0.001",""," 10765 (  1.1) ","  271 (  6.8) ","<0.001","","  5921 (  1.1) ","  2755 (  1.0) ","   79 (  1.3) ","  122 (  0.9) ","  663 (  1.0) ","    8 (  0.8) "," 1488 (  3.0) ","<0.001",""
"DIALYSIS = 1 (%)","   138 (  0.0) ","    20 (  0.0) ","  118 (  1.3) ","<0.001","","     1 (  0.0) ","  137 (  3.5) ","<0.001","","    47 (  0.0) ","    48 (  0.0) ","    2 (  0.0) ","    0 (  0.0) ","    9 (  0.0) ","    0 (  0.0) ","   32 (  0.1) ","<0.001",""
"DM = 1 (%)","  7604 (  0.8) ","  7297 (  0.8) ","  307 (  3.4) ","<0.001","","  7385 (  0.8) ","  219 (  5.5) ","<0.001","","  3898 (  0.7) ","  2877 (  1.0) ","   34 (  0.6) ","   83 (  0.6) ","  365 (  0.5) ","    4 (  0.4) ","  343 (  0.7) ","<0.001",""
"DYSRHYTH = 1 (%)","  5960 (  0.6) ","  5639 (  0.6) ","  321 (  3.5) ","<0.001","","  5756 (  0.6) ","  204 (  5.1) ","<0.001","","  3135 (  0.6) ","  1892 (  0.7) ","   31 (  0.5) ","   72 (  0.5) ","  228 (  0.3) ","    4 (  0.4) ","  598 (  1.2) ","<0.001",""
"ED = 1 (%)","392667 ( 40.1) ","387357 ( 40.0) "," 5310 ( 58.1) ","<0.001","","390098 ( 40.0) "," 2569 ( 64.8) ","<0.001","","207085 ( 37.5) ","135491 ( 47.0) "," 2437 ( 39.5) "," 3225 ( 23.8) ","25423 ( 37.5) ","  277 ( 29.2) ","18729 ( 38.3) ","<0.001",""
"GI = 1 (%)","  2989 (  0.3) ","  2843 (  0.3) ","  146 (  1.6) ","<0.001","","  2910 (  0.3) ","   79 (  2.0) ","<0.001","","  1730 (  0.3) ","   751 (  0.3) ","   26 (  0.4) ","   37 (  0.3) ","  165 (  0.2) ","    1 (  0.1) ","  279 (  0.6) ","<0.001",""
"HOMEHEALTH = 1 (%)","  3892 (  0.4) ","  3492 (  0.4) ","  400 (  4.4) ","<0.001","","  3636 (  0.4) ","  256 (  6.5) ","<0.001","","  1276 (  0.2) ","  1158 (  0.4) ","   13 (  0.2) ","   72 (  0.5) ","  319 (  0.5) ","    2 (  0.2) "," 1052 (  2.2) ","<0.001",""
"HTN = 1 (%)","  6107 (  0.6) ","  5398 (  0.6) ","  709 (  7.8) ","<0.001","","  5542 (  0.6) ","  565 ( 14.2) ","<0.001","","  2357 (  0.4) ","  3028 (  1.1) ","   34 (  0.6) ","  105 (  0.8) ","  239 (  0.4) ","    3 (  0.3) ","  341 (  0.7) ","<0.001",""
"ICDCRTD = 1 (%)","    12 (  0.0) ","    12 (  0.0) ","    0 (  0.0) "," 1.000","","    12 (  0.0) ","    0 (  0.0) "," 1.000","","     4 (  0.0) ","     5 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    2 (  0.0) "," 0.505",""
"INF_HOSP = 1 (%)","395314 ( 40.4) ","389338 ( 40.2) "," 5976 ( 65.4) ","<0.001","","392667 ( 40.3) "," 2647 ( 66.7) ","<0.001","","237423 ( 43.0) ","103689 ( 36.0) "," 2393 ( 38.8) "," 5213 ( 38.4) ","26131 ( 38.6) ","  364 ( 38.3) ","20101 ( 41.1) ","<0.001",""
"LABXRAY = 1 (%)","639545 ( 65.4) ","630641 ( 65.1) "," 8904 ( 97.4) ","<0.001","","635670 ( 65.3) "," 3875 ( 97.7) ","<0.001","","361292 ( 65.4) ","190821 ( 66.2) "," 3916 ( 63.6) "," 7977 ( 58.8) ","44911 ( 66.3) ","  593 ( 62.4) ","30035 ( 61.5) ","<0.001",""
"LIVERDIS = 1 (%)","  1164 (  0.1) ","  1062 (  0.1) ","  102 (  1.1) ","<0.001","","  1094 (  0.1) ","   70 (  1.8) ","<0.001","","   627 (  0.1) ","   311 (  0.1) ","    9 (  0.1) ","   38 (  0.3) ","   76 (  0.1) ","    1 (  0.1) ","  102 (  0.2) ","<0.001",""
"NONKIDNEYTX = 1 (%)","   236 (  0.0) ","   178 (  0.0) ","   58 (  0.6) ","<0.001","","   189 (  0.0) ","   47 (  1.2) ","<0.001","","    97 (  0.0) ","    69 (  0.0) ","    3 (  0.0) ","    4 (  0.0) ","   10 (  0.0) ","    0 (  0.0) ","   53 (  0.1) ","<0.001",""
